Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Nehuén Pérez\Nehuen-Perez,ar ARG,DF,Granada,es La Liga,20,2000,8.2,0,5,1,20.0,0.61,0.12,0.00,0.00,8.1,0,0,0,0.7,0.7,0.14,-0.7,-0.7
Mattia Perin\Mattia-Perin,it ITA,GK,Genoa,it Serie A,27,1992,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ivan Perišić\Ivan-Perisic,hr CRO,DFFW,Inter,it Serie A,31,1989,19.9,4,35,10,28.6,1.75,0.50,0.11,0.40,12.8,0,0,0,4.4,4.4,0.13,-0.4,-0.4
Romain Perraud\Romain-Perraud,fr FRA,DF,Brest,fr Ligue 1,22,1997,34.9,3,43,11,25.6,1.23,0.32,0.07,0.27,22.3,2,0,0,2.1,2.1,0.05,0.9,0.9
Lucas Perrin\Lucas-Perrin,fr FRA,DF,Marseille,fr Ligue 1,21,1998,3.4,1,3,1,33.3,0.88,0.29,0.33,1.00,12.4,0,0,0,0.3,0.3,0.11,0.7,0.7
Pavao Pervan\Pavao-Pervan,at AUT,GK,Wolfsburg,de Bundesliga,32,1987,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Matteo Pessina\Matteo-Pessina,it ITA,MF,Atalanta,it Serie A,23,1997,18.3,2,22,10,45.5,1.20,0.55,0.09,0.20,14.7,0,0,0,2.5,2.5,0.11,-0.5,-0.5
Andrea Petagna\Andrea-Petagna,it ITA,FW,Napoli,it Serie A,25,1995,10.7,4,26,11,42.3,2.43,1.03,0.15,0.36,10.2,0,0,0,4.1,4.1,0.16,-0.1,-0.1
Nils Petersen\Nils-Petersen,de GER,FW,Freiburg,de Bundesliga,31,1988,14.5,8,33,11,33.3,2.28,0.76,0.21,0.64,10.1,0,1,1,6.4,5.6,0.17,1.6,1.4
Lukas Petkov\Lukas-Petkov,de GER,MF,Augsburg,de Bundesliga,19,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jacopo Petriccione\Jacopo-Petriccione,it ITA,MF,Crotone,it Serie A,25,1995,10.6,0,3,1,33.3,0.28,0.09,0.00,0.00,25.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Jens Petter Hauge\Jens-Petter-Hauge,no NOR,FWMF,Milan,it Serie A,20,1999,5.9,2,7,3,42.9,1.18,0.51,0.29,0.67,14.4,0,0,0,0.7,0.7,0.10,1.3,1.3
Germán Pezzella\German-Pezzella,ar ARG,DF,Fiorentina,it Serie A,29,1991,30.5,1,18,2,11.1,0.59,0.07,0.06,0.50,9.7,0,0,0,1.3,1.3,0.07,-0.3,-0.3
Giuseppe Pezzella\Giuseppe-Pezzella,it ITA,DF,Parma,it Serie A,22,1997,20.3,1,7,2,28.6,0.34,0.10,0.14,0.50,23.9,0,0,0,0.3,0.3,0.04,0.7,0.7
Maximilian Philipp\Maximilian-Philipp,de GER,MF,Wolfsburg,de Bundesliga,26,1994,12.3,6,28,15,53.6,2.27,1.22,0.21,0.40,15.7,0,0,0,3.0,3.0,0.11,3.0,3.0
Rayan Philippe\Rayan-Philippe,fr FRA,FW,Dijon,fr Ligue 1,19,2000,1.0,0,3,2,66.7,2.90,1.94,0.00,0.00,15.5,0,0,0,0.3,0.3,0.09,-0.3,-0.3
Romain Philippoteaux\Romain-Philippoteaux,fr FRA,FW,Nîmes,fr Ligue 1,32,1988,2.4,1,2,2,100.0,0.84,0.84,0.50,0.50,11.1,0,0,0,0.6,0.6,0.32,0.4,0.4
Romain Philippoteaux\Romain-Philippoteaux,fr FRA,MFFW,Brest,fr Ligue 1,32,1988,6.5,1,10,2,20.0,1.55,0.31,0.10,0.50,18.5,0,0,0,0.7,0.7,0.07,0.3,0.3
Kalvin Phillips\Kalvin-Phillips,eng ENG,MF,Leeds United,eng Premier League,24,1995,27.0,1,15,5,33.3,0.56,0.19,0.07,0.20,26.2,3,0,0,0.4,0.4,0.02,0.6,0.6
Matt Phillips\Matt-Phillips,sco SCO,MFFW,West Brom,eng Premier League,29,1991,20.3,2,22,9,40.9,1.08,0.44,0.09,0.22,20.2,1,0,0,2.5,2.5,0.11,-0.5,-0.5
Nathaniel Phillips\Nathaniel-Phillips,eng ENG,DF,Liverpool,eng Premier League,23,1997,16.2,1,13,1,7.7,0.80,0.06,0.08,1.00,9.4,0,0,0,1.1,1.1,0.09,-0.1,-0.1
Jaden Philogene Bidace\Jaden-Philogene-Bidace,eng ENG,FW,Aston Villa,eng Premier League,18,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Krzysztof Piątek\Krzysztof-Piatek,pl POL,FW,Hertha BSC,de Bundesliga,25,1995,18.1,7,39,18,46.2,2.15,0.99,0.18,0.39,14.5,0,0,1,6.7,5.9,0.15,0.3,1.1
Pablo Piatti\Pablo-Piatti,ar ARG,MFFW,Elche,es La Liga,31,1989,4.0,0,4,3,75.0,1.00,0.75,0.00,0.00,21.2,0,0,0,0.5,0.5,0.12,-0.5,-0.5
Cristiano Piccini\Cristiano-Piccini,it ITA,DF,Atalanta,it Serie A,27,1992,0.7,0,1,0,0.0,1.53,0.00,0.00,,9.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Cristiano Piccini\Cristiano-Piccini,it ITA,DF,Valencia,es La Liga,27,1992,0.7,0,1,0,0.0,1.34,0.00,0.00,,58.5,0,0,0,0.0,0.0,0.01,0.0,0.0
Roberto Piccoli\Roberto-Piccoli,it ITA,FW,Spezia,it Serie A,19,2001,7.8,5,15,10,66.7,1.92,1.28,0.33,0.50,9.8,0,0,0,3.9,3.9,0.26,1.1,1.1
Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,eng Premier League,26,1994,30.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jérémy Pied\Jeremy-Pied,fr FRA,DF,Lille,fr Ligue 1,31,1989,3.5,0,1,1,100.0,0.28,0.28,0.00,0.00,23.5,0,0,0,0.0,0.0,0.03,0.0,0.0
Amos Pieper\Amos-Pieper,de GER,DF,Arminia,de Bundesliga,22,1998,29.8,1,14,5,35.7,0.47,0.17,0.07,0.20,14.9,0,0,0,1.0,1.0,0.07,0.0,0.0
Ronaël Pierre-Gabriel\Ronael-Pierre-Gabriel,fr FRA,DF,Brest,fr Ligue 1,22,1998,25.6,1,8,2,25.0,0.31,0.08,0.13,0.50,17.7,0,0,0,0.5,0.5,0.06,0.5,0.5
Erik Pieters\Erik-Pieters,nl NED,DFMF,Burnley,eng Premier League,31,1988,14.1,0,4,3,75.0,0.28,0.21,0.00,0.00,18.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Tomás Pina Isla\Tomas-Pina-Isla,es ESP,MF,Alavés,es La Liga,32,1987,28.6,1,9,1,11.1,0.31,0.03,0.11,1.00,17.3,0,0,0,0.5,0.5,0.06,0.5,0.5
Andrea Pinamonti\Andrea-Pinamonti,it ITA,FW,Inter,it Serie A,21,1999,1.9,1,4,2,50.0,2.13,1.07,0.25,0.50,14.3,0,0,0,1.0,1.0,0.25,0.0,0.0
Yeremi Pino\Yeremi-Pino,es ESP,FWMF,Villarreal,es La Liga,17,2002,8.9,3,14,5,35.7,1.58,0.56,0.21,0.60,14.8,0,0,0,1.5,1.5,0.10,1.5,1.5
Carlo Pinsoglio\Carlo-Pinsoglio,it ITA,GK,Juventus,it Serie A,30,1990,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Gerard Piqué\Gerard-Pique,es ESP,DF,Barcelona,es La Liga,33,1987,16.5,0,8,2,25.0,0.49,0.12,0.00,0.00,9.3,0,0,0,0.6,0.6,0.08,-0.6,-0.6
Fabio Pisacane\Fabio-Pisacane,it ITA,DF,Cagliari,it Serie A,34,1986,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Łukasz Piszczek\Lukasz-Piszczek,pl POL,DF,Dortmund,de Bundesliga,35,1985,5.1,0,1,0,0.0,0.20,0.00,0.00,,19.0,0,0,0,0.0,0.0,0.02,0.0,0.0
Marko Pjaca\Marko-Pjaca,hr CRO,FWMF,Genoa,it Serie A,25,1995,15.8,3,30,11,36.7,1.90,0.70,0.10,0.27,16.6,0,0,0,2.9,2.9,0.10,0.1,0.1
Miralem Pjanić\Miralem-Pjanic,ba BIH,MF,Barcelona,es La Liga,30,1990,7.0,0,16,3,18.8,2.30,0.43,0.00,0.00,21.0,2,0,0,1.2,1.2,0.08,-1.2,-1.2
Óscar Plano\Oscar-Plano,es ESP,MFFW,Valladolid,es La Liga,29,1991,28.0,5,41,10,24.4,1.47,0.36,0.12,0.50,16.4,0,0,0,4.3,4.3,0.11,0.7,0.7
Marvin Plattenhardt\Marvin-Plattenhardt,de GER,DF,Hertha BSC,de Bundesliga,28,1992,11.9,0,3,0,0.0,0.25,0.00,0.00,,29.5,2,0,0,0.1,0.1,0.02,-0.1,-0.1
Alassane Pléa\Alassane-Plea,fr FRA,FW,M'Gladbach,de Bundesliga,27,1993,20.0,6,60,25,41.7,3.00,1.25,0.10,0.24,16.7,0,0,0,5.1,5.1,0.09,0.9,0.9
Dani Plomer\Dani-Plomer,es ESP,FW,Granada,es La Liga,21,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Tommaso Pobega\Tommaso-Pobega,it ITA,MF,Spezia,it Serie A,21,1999,13.7,6,21,10,47.6,1.54,0.73,0.29,0.60,14.7,0,0,0,3.4,3.4,0.16,2.6,2.6
Daniel Podence\Daniel-Podence,pt POR,MFFW,Wolves,eng Premier League,24,1995,18.5,3,32,14,43.8,1.73,0.76,0.09,0.21,16.6,0,0,0,3.1,3.1,0.10,-0.1,-0.1
Paul Pogba\Paul-Pogba,fr FRA,MFFW,Manchester Utd,eng Premier League,27,1993,21.1,3,31,11,35.5,1.47,0.52,0.10,0.27,15.4,0,0,0,2.1,2.1,0.07,0.9,0.9
Joel Pohjanpalo\Joel-Pohjanpalo,fi FIN,FW,Union Berlin,de Bundesliga,25,1994,9.5,6,31,15,48.4,3.28,1.59,0.19,0.40,11.6,0,0,0,6.9,6.9,0.22,-0.9,-0.9
Joel Pohjanpalo\Joel-Pohjanpalo,fi FIN,MF,Leverkusen,de Bundesliga,25,1994,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Andrea Poli\Andrea-Poli,it ITA,MF,Bologna,it Serie A,30,1989,4.3,1,3,2,66.7,0.70,0.47,0.33,0.50,10.5,0,0,0,0.9,0.9,0.30,0.1,0.1
Matteo Politano\Matteo-Politano,it ITA,FW,Napoli,it Serie A,26,1993,21.2,9,62,20,32.3,2.92,0.94,0.15,0.45,18.8,1,0,0,5.2,5.2,0.08,3.8,3.8
Jorge Pombo\Jorge-Pombo,es ESP,FWMF,Cádiz,es La Liga,26,1994,5.8,1,14,4,28.6,2.41,0.69,0.07,0.25,20.7,0,0,0,1.3,1.3,0.09,-0.3,-0.3
Marin Pongračić\Marin-Pongracic,hr CRO,DF,Wolfsburg,de Bundesliga,22,1997,6.4,0,1,0,0.0,0.16,0.00,0.00,,13.0,0,0,0,0.0,0.0,0.03,0.0,0.0
Pere Pons\Pere-Pons,es ESP,MF,Alavés,es La Liga,27,1993,13.2,2,9,4,44.4,0.68,0.30,0.22,0.50,18.1,0,0,0,0.8,0.8,0.09,1.2,1.2
Nick Pope\Nick-Pope,eng ENG,GK,Burnley,eng Premier League,28,1992,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Manolo Portanova\Manolo-Portanova,it ITA,DFMF,Genoa,it Serie A,20,2000,0.7,0,1,1,100.0,1.36,1.36,0.00,0.00,68.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Manolo Portanova\Manolo-Portanova,it ITA,FWMF,Juventus,it Serie A,20,2000,0.8,0,5,2,40.0,6.43,2.57,0.00,0.00,20.5,1,0,0,0.6,0.6,0.11,-0.6,-0.6
Francisco Portillo\Francisco-Portillo,es ESP,MFFW,Getafe,es La Liga,30,1990,4.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Portu\Portu,es ESP,FWMF,Real Sociedad,es La Liga,28,1992,24.3,8,32,12,37.5,1.32,0.49,0.25,0.67,13.0,0,0,0,5.5,5.5,0.17,2.5,2.5
Stefan Posch\Stefan-Posch,at AUT,DF,Hoffenheim,de Bundesliga,23,1997,23.5,0,10,2,20.0,0.42,0.08,0.00,0.00,20.6,1,0,0,0.8,0.8,0.08,-0.8,-0.8
Sergio Postigo\Sergio-Postigo,es ESP,DF,Levante,es La Liga,31,1988,18.0,0,1,0,0.0,0.06,0.00,0.00,,11.2,0,0,0,0.0,0.0,0.04,0.0,0.0
Yussuf Poulsen\Yussuf-Poulsen,dk DEN,FW,RB Leipzig,de Bundesliga,26,1994,15.0,5,45,14,31.1,2.99,0.93,0.11,0.36,13.4,0,0,0,5.0,5.0,0.11,0.0,0.0
Maxime Poundjé\Maxime-Poundje,fr FRA,DF,Bordeaux,fr Ligue 1,27,1992,5.5,0,1,0,0.0,0.18,0.00,0.00,,22.2,0,0,0,0.0,0.0,0.05,0.0,0.0
Darío Poveda\Dario-Poveda,es ESP,FW,Getafe,es La Liga,23,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Alejandro Pozo Pozo\Alejandro-Pozo-Pozo,es ESP,DFMF,Eibar,es La Liga,21,1999,24.3,0,11,1,9.1,0.45,0.04,0.00,0.00,22.6,0,0,0,0.3,0.3,0.03,-0.3,-0.3
Dennis Praet\Dennis-Praet,be BEL,MFFW,Leicester City,eng Premier League,26,1994,8.0,1,8,2,25.0,1.00,0.25,0.13,0.50,16.1,0,0,0,0.5,0.5,0.07,0.5,0.5
Sanjin Prcić\Sanjin-Prcic,ba BIH,MF,Strasbourg,fr Ligue 1,26,1993,3.9,0,7,1,14.3,1.78,0.25,0.00,0.00,26.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Nicolas de Préville\Nicolas-de-Preville,fr FRA,FWMF,Bordeaux,fr Ligue 1,29,1991,17.9,1,39,11,28.2,2.18,0.61,0.03,0.09,16.1,3,0,0,4.5,4.5,0.12,-3.5,-3.5
Manuel Prietl\Manuel-Prietl,at AUT,MF,Arminia,de Bundesliga,28,1991,28.0,1,18,5,27.8,0.64,0.18,0.06,0.20,25.3,0,0,0,0.7,0.7,0.04,0.3,0.3
Grischa Prömel\Grischa-Promel,de GER,MF,Union Berlin,de Bundesliga,25,1995,20.2,3,20,5,25.0,0.99,0.25,0.15,0.60,13.9,0,0,0,1.9,1.9,0.09,1.1,1.1
Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,eng Premier League,28,1991,2.4,0,4,2,50.0,1.69,0.85,0.00,0.00,17.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Ivan Provedel\Ivan-Provedel,it ITA,GK,Spezia,it Serie A,26,1994,29.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Antonio Puertas\Antonio-Puertas,es ESP,FWMF,Granada,es La Liga,28,1992,24.1,3,28,11,39.3,1.16,0.46,0.11,0.27,15.1,0,0,0,4.1,4.1,0.15,-1.1,-1.1
Riqui Puig\Riqui-Puig,es ESP,MF,Barcelona,es La Liga,20,1999,3.2,1,4,2,50.0,1.23,0.62,0.25,0.50,17.0,0,0,0,0.3,0.3,0.07,0.7,0.7
Erick Pulgar\Erick-Pulgar,cl CHI,MF,Fiorentina,it Serie A,26,1994,22.2,1,16,3,18.8,0.72,0.13,0.06,0.33,23.0,4,0,0,0.8,0.8,0.05,0.2,0.2
Jorge Pulido\Jorge-Pulido,es ESP,DF,Huesca,es La Liga,29,1991,32.1,1,17,2,11.8,0.53,0.06,0.06,0.50,13.2,0,0,0,2.6,2.6,0.17,-1.6,-1.6
Christian Pulisic\Christian-Pulisic,us USA,FWMF,Chelsea,eng Premier League,21,1998,19.3,4,43,16,37.2,2.23,0.83,0.09,0.25,13.9,0,0,0,5.4,5.4,0.13,-1.4,-1.4
Ignacio Pussetto\Ignacio-Pussetto,ar ARG,FW,Udinese,it Serie A,24,1995,8.4,3,17,7,41.2,2.03,0.84,0.18,0.43,13.8,0,0,0,2.2,2.2,0.13,0.8,0.8
Fabio Quagliarella\Fabio-Quagliarella,it ITA,FW,Sampdoria,it Serie A,37,1983,24.5,13,77,25,32.5,3.14,1.02,0.14,0.44,18.1,1,2,3,11.0,8.7,0.11,2.0,2.3
Robin Quaison\Robin-Quaison,se SWE,FWMF,Mainz 05,de Bundesliga,26,1993,16.4,6,34,16,47.1,2.07,0.98,0.15,0.31,17.5,1,1,1,5.9,5.1,0.15,0.1,-0.1
Domingos Quina\Domingos-Quina,pt POR,MF,Granada,es La Liga,20,1999,3.8,2,8,3,37.5,2.11,0.79,0.25,0.67,21.3,0,0,0,0.3,0.3,0.04,1.7,1.7
Quini\Quini,es ESP,DF,Granada,es La Liga,30,1989,13.2,1,8,3,37.5,0.60,0.23,0.13,0.33,25.2,0,0,0,0.3,0.3,0.04,0.7,0.7
Quique\Quique,es ESP,FWMF,Eibar,es La Liga,30,1990,1.9,0,4,1,25.0,2.16,0.54,0.00,0.00,14.5,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Dani Raba\Dani-Raba,es ESP,MF,Villarreal,es La Liga,24,1995,1.7,0,6,1,16.7,3.60,0.60,0.00,0.00,17.1,1,0,0,0.4,0.4,0.06,-0.4,-0.4
Simone Rabbi\Simone-Rabbi,it ITA,FW,Bologna,it Serie A,18,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Adrien Rabiot\Adrien-Rabiot,fr FRA,MF,Juventus,it Serie A,25,1995,25.7,4,34,12,35.3,1.32,0.47,0.12,0.33,16.3,0,0,0,3.0,3.0,0.09,1.0,1.0
Uroš Račić\Uros-Racic,rs SRB,MF,Valencia,es La Liga,22,1998,24.3,1,35,10,28.6,1.44,0.41,0.03,0.10,22.2,0,0,0,1.6,1.6,0.04,-0.6,-0.6
Anthony Racioppi\Anthony-Racioppi,ch SUI,GK,Dijon,fr Ligue 1,21,1998,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nemanja Radoja\Nemanja-Radoja,rs SRB,MF,Levante,es La Liga,27,1993,12.5,0,7,0,0.0,0.56,0.00,0.00,,22.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Nemanja Radonjić\Nemanja-Radonjic,rs SRB,FWDF,Hertha BSC,de Bundesliga,24,1996,6.8,1,16,7,43.8,2.36,1.03,0.06,0.14,17.5,0,0,0,1.8,1.8,0.11,-0.8,-0.8
Nemanja Radonjić\Nemanja-Radonjic,rs SRB,FW,Marseille,fr Ligue 1,24,1996,4.4,2,12,7,58.3,2.73,1.59,0.17,0.29,15.8,0,0,0,1.8,1.8,0.15,0.2,0.2
Aleksandar Radovanović\Aleksandar-Radovanovic,rs SRB,DF,Lens,fr Ligue 1,26,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ivan Radovanović\Ivan-Radovanovic,rs SRB,DFMF,Genoa,it Serie A,31,1988,24.8,0,6,1,16.7,0.24,0.04,0.00,0.00,17.3,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Ionuț Radu\Ionut-Radu,ro ROU,GK,Inter,it Serie A,23,1997,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ștefan Radu\Stefan-Radu,ro ROU,DF,Lazio,it Serie A,33,1986,27.3,0,6,0,0.0,0.22,0.00,0.00,,11.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Rafael\Rafael,br BRA,GK,Spezia,it Serie A,38,1982,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Rafinha\Rafinha,br BRA,MF,Paris S-G,fr Ligue 1,27,1993,15.1,0,24,8,33.3,1.59,0.53,0.00,0.00,18.1,0,0,0,1.3,1.3,0.06,-1.3,-1.3
Antonio Raimondo\Antonio-Raimondo,it ITA,FW,Bologna,it Serie A,16,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Predrag Rajković\Predrag-Rajkovic,rs SRB,GK,Reims,fr Ligue 1,24,1995,36.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ivan Rakitić\Ivan-Rakitic,hr CRO,MF,Sevilla,es La Liga,32,1988,24.8,4,38,8,21.1,1.53,0.32,0.05,0.25,19.2,2,2,2,5.2,3.7,0.10,-1.2,-1.7
Jonás Ramalho\Jonas-Ramalho,es ESP,DF,Osasuna,es La Liga,27,1993,3.4,0,2,1,50.0,0.59,0.30,0.00,0.00,14.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Benito Raman\Benito-Raman,be BEL,FWMF,Schalke 04,de Bundesliga,25,1994,13.8,2,26,7,26.9,1.88,0.51,0.08,0.29,18.0,1,0,0,2.3,2.2,0.09,-0.3,-0.2
Gastón Ramírez\Gaston-Ramirez,uy URU,MFFW,Sampdoria,it Serie A,29,1990,10.8,0,13,5,38.5,1.21,0.46,0.00,0.00,21.0,1,0,0,0.7,0.7,0.05,-0.7,-0.7
Sandro Ramírez\Sandro-Ramirez,es ESP,FWMF,Huesca,es La Liga,25,1995,14.3,5,30,19,63.3,2.10,1.33,0.17,0.26,19.4,4,0,0,2.4,2.4,0.08,2.6,2.6
Sergio Ramos\Sergio-Ramos,es ESP,DF,Real Madrid,es La Liga,34,1986,14.2,2,15,4,26.7,1.06,0.28,0.00,0.00,12.1,3,2,2,3.8,2.3,0.15,-1.8,-2.3
Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Sheffield Utd,eng Premier League,22,1998,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Aaron Ramsey\Aaron-Ramsey,wal WAL,MF,Juventus,it Serie A,29,1990,12.1,2,23,10,43.5,1.90,0.83,0.09,0.20,13.8,0,0,0,5.0,5.0,0.22,-3.0,-3.0
Jacob Ramsey\Jacob-Ramsey,eng ENG,MF,Aston Villa,eng Premier League,19,2001,7.0,0,11,1,9.1,1.58,0.14,0.00,0.00,18.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5
Kayne Ramsey\Kayne-Ramsey,eng ENG,DF,Southampton,eng Premier League,19,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,eng Premier League,33,1987,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Andrea Ranocchia\Andrea-Ranocchia,it ITA,DF,Inter,it Serie A,32,1988,7.8,0,9,2,22.2,1.15,0.26,0.00,0.00,6.4,0,0,0,1.1,1.1,0.12,-1.1,-1.1
Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,eng Premier League,22,1997,32.4,11,79,36,45.6,2.43,1.11,0.14,0.31,18.4,5,0,0,9.3,9.3,0.12,1.7,1.7
Milot Rashica\Milot-Rashica,xk KVX,FWMF,Werder Bremen,de Bundesliga,24,1996,16.2,3,41,14,34.1,2.52,0.86,0.05,0.14,20.4,3,1,1,4.4,3.6,0.09,-1.4,-1.6
Giacomo Raspadori\Giacomo-Raspadori,it ITA,FWMF,Sassuolo,it Serie A,20,2000,13.7,6,23,12,52.2,1.68,0.88,0.26,0.50,13.6,1,0,0,4.3,4.3,0.19,1.7,1.7
Federico Ravaglia\Federico-Ravaglia,it ITA,GK,Bologna,it Serie A,20,1999,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Tim Ream\Tim-Ream,us USA,DF,Fulham,eng Premier League,32,1987,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ante Rebić\Ante-Rebic,hr CRO,FW,Milan,it Serie A,26,1993,19.7,11,44,23,52.3,2.23,1.17,0.25,0.48,14.1,0,0,0,7.7,7.3,0.17,3.3,3.7
Arkadiusz Reca\Arkadiusz-Reca,pl POL,DF,Crotone,it Serie A,25,1995,25.7,2,30,7,23.3,1.17,0.27,0.07,0.29,18.3,0,0,0,1.6,1.6,0.05,0.4,0.4
Recio\Recio,es ESP,MF,Eibar,es La Liga,29,1991,8.2,1,13,2,15.4,1.59,0.25,0.00,0.00,21.2,1,1,1,1.2,0.5,0.04,-0.2,-0.5
Daishawn Redan\Daishawn-Redan,nl NED,FWMF,Hertha BSC,de Bundesliga,19,2001,1.1,0,3,2,66.7,2.65,1.76,0.00,0.00,11.8,0,0,0,0.6,0.6,0.21,-0.6,-0.6
Nathan Redmond\Nathan-Redmond,eng ENG,MFFW,Southampton,eng Premier League,26,1994,19.3,2,45,14,31.1,2.33,0.72,0.04,0.14,17.9,0,0,0,3.3,3.3,0.07,-1.3,-1.3
Harrison Reed\Harrison-Reed,eng ENG,MF,Fulham,eng Premier League,25,1995,25.0,0,13,4,30.8,0.52,0.16,0.00,0.00,25.6,0,0,0,0.3,0.3,0.02,-0.3,-0.3
Vasco Regini\Vasco-Regini,it ITA,DF,Sampdoria,it Serie A,29,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Sergio Reguilón\Sergio-Reguilon,es ESP,DF,Tottenham,eng Premier League,23,1996,24.9,0,21,4,19.0,0.84,0.16,0.00,0.00,18.3,0,0,0,1.6,1.6,0.08,-1.6,-1.6
Bobby Reid\Bobby-Reid,jm JAM,MFDF,Fulham,eng Premier League,27,1993,26.4,5,34,8,23.5,1.29,0.30,0.15,0.63,16.8,1,0,0,4.8,4.8,0.14,0.2,0.2
Pepe Reina\Pepe-Reina,es ESP,GK,Lazio,it Serie A,37,1982,29.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jeff Reine-Adélaïde\Jeff-Reine-Adelaide,fr FRA,MFFW,Nice,fr Ligue 1,22,1998,11.8,1,15,6,40.0,1.28,0.51,0.07,0.17,19.4,0,0,0,1.2,1.2,0.08,-0.2,-0.2
Jeff Reine-Adélaïde\Jeff-Reine-Adelaide,fr FRA,FW,Lyon,fr Ligue 1,22,1998,0.3,0,1,1,100.0,3.75,3.75,0.00,0.00,18.4,0,0,0,0.1,0.1,0.10,-0.1,-0.1
Reinier\Reinier,br BRA,MFFW,Dortmund,de Bundesliga,18,2002,2.9,1,3,1,33.3,1.05,0.35,0.33,1.00,10.7,0,0,0,0.9,0.9,0.29,0.1,0.1
Francisco Reis Ferreira\Francisco-Reis-Ferreira,pt POR,DF,Valencia,es La Liga,23,1997,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Rocco Reitz\Rocco-Reitz,de GER,MF,M'Gladbach,de Bundesliga,18,2002,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Karim Rekik\Karim-Rekik,nl NED,DF,Sevilla,es La Liga,25,1994,7.3,0,3,0,0.0,0.41,0.00,0.00,,8.4,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Álex Remiro\Alex-Remiro,es ESP,GK,Real Sociedad,es La Liga,25,1995,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
