Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Dimitry Bertaud\Dimitry-Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,22,1998,8.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Marco Bertini\Marco-Bertini,it ITA,MF,Lazio,it Serie A,17,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,eng Premier League,30,1989,28.9,0,8,3,37.5,0.28,0.10,0.00,0.00,19.7,0,0,0,0.6,0.6,0.08,-0.6,-0.6
Daniel Bessa\Daniel-Bessa,it ITA,MFFW,Hellas Verona,it Serie A,27,1993,6.8,0,8,4,50.0,1.17,0.59,0.00,0.00,16.1,0,0,0,0.8,0.8,0.10,-0.8,-0.8
Loïc Bessile\Loic-Bessile,tg TOG,DF,Bordeaux,fr Ligue 1,21,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Louis Beyer\Louis-Beyer,de GER,DF,M'Gladbach,de Bundesliga,20,2000,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bartosz Bialek\Bartosz-Bialek,pl POL,FWMF,Wolfsburg,de Bundesliga,18,2001,3.0,2,9,5,55.6,3.00,1.67,0.22,0.40,11.8,0,0,0,2.1,2.1,0.23,-0.1,-0.1
Giulian Biancone\Giulian-Biancone,fr FRA,DFMF,Monaco,fr Ligue 1,20,2000,1.0,0,1,0,0.0,0.98,0.00,0.00,,19.2,0,0,0,0.0,0.0,0.04,0.0,0.0
Ermin Bičakčić\Ermin-Bicakcic,ba BIH,DF,Hoffenheim,de Bundesliga,30,1990,1.4,1,2,1,50.0,1.41,0.70,0.50,1.00,4.7,0,0,0,0.4,0.4,0.18,0.6,0.6
Pedro Bigas\Pedro-Bigas,es ESP,DF,Eibar,es La Liga,29,1990,17.0,0,10,1,10.0,0.59,0.06,0.00,0.00,12.9,0,0,0,0.9,0.9,0.09,-0.9,-0.9
