Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,Corner_In,Corner_Out,Corner_Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Name_no_spec_chars
Dodi Lukebakio,BEL,FWMF,Hertha BSC,Bundesliga,22.0,1997.0,20.6,533.0,512.0,21.0,8.0,0.0,123.0,22.0,26,2.0,0.0,1.0,1.0,370.0,74.0,89.0,361.0,119.0,17.0,6.0,8.0,400.0,1.0,12.0,23.0,18.0,Dodi Lukebakio
Saša Lukić,SRB,MF,Torino,Serie A,23.0,1996.0,23.4,807.0,779.0,28.0,18.0,2.0,141.0,13.0,25,3.0,1.0,1.0,0.0,623.0,89.0,95.0,139.0,614.0,27.0,4.0,4.0,648.0,2.0,9.0,19.0,33.0,Sasa Lukic
Senad Lulić,BIH,DFMF,Lazio,Serie A,34.0,1986.0,8.0,347.0,308.0,39.0,2.0,0.0,76.0,10.0,23,1.0,0.0,0.0,0.0,190.0,69.0,88.0,49.0,232.0,20.0,36.0,1.0,252.0,2.0,7.0,11.0,14.0,Senad Lulic
John Lundstram,ENG,MF,Sheffield Utd,Premier League,26.0,1994.0,22.6,1041.0,975.0,66.0,15.0,1.0,136.0,49.0,31,25.0,17.0,6.0,2.0,738.0,117.0,186.0,276.0,721.0,17.0,8.0,5.0,843.0,4.0,15.0,20.0,26.0,John Lundstram
Sebastiano Luperto,ITA,DF,Crotone,Serie A,23.0,1996.0,20.9,979.0,926.0,53.0,41.0,1.0,88.0,11.0,0,0.0,0.0,0.0,0.0,736.0,76.0,167.0,811.0,103.0,37.0,11.0,1.0,809.0,1.0,23.0,18.0,16.0,Sebastiano Luperto
Andreas Luthe,GER,GK,Union Berlin,Bundesliga,33.0,1987.0,30.8,1138.0,835.0,303.0,86.0,0.0,71.0,12.0,0,0.0,0.0,0.0,0.0,584.0,37.0,517.0,115.0,862.0,0.0,1.0,106.0,815.0,1.0,24.0,9.0,2.0,Andreas Luthe
Lyanco,BRA,DF,Torino,Serie A,23.0,1997.0,21.8,1247.0,1194.0,53.0,52.0,0.0,139.0,59.0,5,0.0,0.0,0.0,0.0,942.0,99.0,206.0,72.0,1106.0,39.0,1.0,9.0,1078.0,3.0,19.0,12.0,9.0,Lyanco
Charalambos Lykogiannis,GRE,DF,Cagliari,Serie A,26.0,1993.0,26.9,1194.0,909.0,285.0,49.0,0.0,99.0,21.0,70,26.0,7.0,13.0,3.0,595.0,246.0,353.0,855.0,57.0,39.0,210.0,4.0,822.0,4.0,27.0,40.0,54.0,Charalambos Lykogiannis
Yann M'Vila,FRA,MFFW,Saint-Étienne,Ligue 1,30.0,1990.0,0.2,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,Yann MVila
Alexis Mac Allister,ARG,MFFW,Brighton,Premier League,21.0,1998.0,12.4,407.0,396.0,11.0,5.0,3.0,67.0,9.0,7,1.0,0.0,0.0,0.0,311.0,58.0,38.0,44.0,338.0,13.0,0.0,2.0,323.0,4.0,5.0,10.0,20.0,Alexis Mac Allister
Darwin Machís,VEN,FWMF,Granada,La Liga,27.0,1993.0,22.5,558.0,501.0,57.0,22.0,2.0,111.0,30.0,67,29.0,14.0,5.0,2.0,311.0,90.0,157.0,76.0,423.0,38.0,5.0,5.0,345.0,3.0,21.0,21.0,37.0,Darwin Machis
Tim Maciejewski,GER,MF,Union Berlin,Bundesliga,19.0,2001.0,0.1,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,Tim Maciejewski
Luca Mack,GER,MF,Stuttgart,Bundesliga,20.0,2000.0,0.1,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Luca Mack
Yvann Macon,FRA,DF,Saint-Étienne,Ligue 1,21.0,1998.0,6.0,320.0,239.0,81.0,4.0,0.0,43.0,8.0,13,0.0,0.0,0.0,0.0,171.0,78.0,71.0,74.0,149.0,13.0,77.0,2.0,241.0,2.0,5.0,7.0,13.0,Yvann Macon
James Maddison,ENG,MFFW,Leicester City,Premier League,23.0,1996.0,23.3,1116.0,968.0,148.0,58.0,6.0,166.0,42.0,40,77.0,16.0,34.0,4.0,764.0,143.0,209.0,114.0,972.0,24.0,0.0,3.0,863.0,4.0,10.0,31.0,40.0,James Maddison
Mikail Maden,NOR,FW,Schalke 04,Bundesliga,18.0,2002.0,0.1,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Mikail Maden
Pablo Maffeo,ESP,DF,Huesca,La Liga,23.0,1997.0,21.8,1078.0,851.0,227.0,15.0,1.0,150.0,41.0,69,0.0,0.0,0.0,0.0,500.0,225.0,353.0,105.0,672.0,62.0,212.0,4.0,750.0,6.0,25.0,24.0,57.0,Pablo Maffeo
Lisandro Magallán,ARG,DF,Crotone,Serie A,26.0,1993.0,24.2,1097.0,1026.0,71.0,32.0,0.0,154.0,21.0,1,0.0,0.0,0.0,0.0,783.0,128.0,186.0,160.0,820.0,52.0,39.0,4.0,916.0,1.0,13.0,22.0,22.0,Lisandro Magallan
Christian Maggio,ITA,DF,Benevento,Serie A,38.0,1982.0,3.3,144.0,113.0,31.0,5.0,0.0,15.0,0.0,3,0.0,0.0,0.0,0.0,82.0,28.0,34.0,13.0,90.0,9.0,26.0,1.0,110.0,0.0,1.0,1.0,6.0,Christian Maggio
Giulio Maggiore,ITA,MF,Spezia,Serie A,22.0,1998.0,24.6,824.0,800.0,24.0,9.0,4.0,167.0,17.0,24,0.0,0.0,0.0,0.0,554.0,131.0,139.0,157.0,593.0,33.0,15.0,7.0,578.0,4.0,10.0,38.0,35.0,Giulio Maggiore
Francesco Magnanelli,ITA,MF,Sassuolo,Serie A,35.0,1984.0,4.9,417.0,408.0,9.0,9.0,0.0,41.0,5.0,1,0.0,0.0,0.0,0.0,334.0,34.0,49.0,35.0,371.0,9.0,0.0,0.0,355.0,1.0,7.0,11.0,7.0,Francesco Magnanelli
Giangiacomo Magnani,ITA,DF,Hellas Verona,Serie A,24.0,1995.0,16.8,590.0,568.0,22.0,18.0,1.0,78.0,16.0,1,0.0,0.0,0.0,0.0,380.0,82.0,128.0,68.0,436.0,46.0,4.0,0.0,471.0,2.0,18.0,7.0,9.0,Giangiacomo Magnani
Hugo Magnetti,FRA,MF,Brest,Ligue 1,22.0,1998.0,6.7,343.0,331.0,12.0,11.0,1.0,40.0,17.0,3,0.0,0.0,0.0,0.0,237.0,33.0,73.0,18.0,302.0,19.0,1.0,1.0,290.0,1.0,9.0,6.0,5.0,Hugo Magnetti
Harry Maguire,ENG,DF,Manchester Utd,Premier League,27.0,1993.0,33.9,2139.0,2075.0,64.0,53.0,1.0,227.0,73.0,4,0.0,0.0,0.0,0.0,1628.0,165.0,346.0,294.0,1645.0,112.0,11.0,11.0,1904.0,7.0,28.0,32.0,11.0,Harry Maguire
Abdallahi Mahmoud,MTN,MF,Alavés,La Liga,20.0,2000.0,0.7,18.0,18.0,0.0,0.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0,9.0,4.0,5.0,1.0,14.0,2.0,0.0,0.0,13.0,0.0,1.0,0.0,1.0,Abdallahi Mahmoud
Hicham Mahou,FRA,DF,Nice,Ligue 1,21.0,1999.0,0.4,18.0,16.0,2.0,1.0,0.0,3.0,1.0,3,0.0,0.0,0.0,0.0,12.0,3.0,3.0,1.0,16.0,0.0,1.0,0.0,12.0,0.0,1.0,1.0,0.0,Hicham Mahou
Riyad Mahrez,ALG,FW,Manchester City,Premier League,29.0,1991.0,21.7,1086.0,1020.0,66.0,11.0,8.0,159.0,28.0,60,41.0,21.0,0.0,2.0,837.0,102.0,147.0,973.0,73.0,13.0,10.0,2.0,914.0,1.0,13.0,14.0,28.0,Riyad Mahrez
Arne Maier,GER,MF,Arminia,Bundesliga,21.0,1999.0,11.5,419.0,381.0,38.0,20.0,1.0,75.0,11.0,10,16.0,7.0,3.0,1.0,264.0,53.0,102.0,46.0,337.0,29.0,1.0,2.0,306.0,1.0,4.0,17.0,13.0,Arne Maier
Arne Maier,GER,MF,Hertha BSC,Bundesliga,21.0,1999.0,0.3,21.0,21.0,0.0,0.0,1.0,3.0,1.0,0,0.0,0.0,0.0,0.0,15.0,2.0,4.0,3.0,18.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,Arne Maier
Habib Maïga,CIV,MF,Metz,Ligue 1,24.0,1996.0,29.9,1440.0,1398.0,42.0,29.0,2.0,258.0,50.0,17,0.0,0.0,0.0,0.0,1070.0,132.0,238.0,131.0,1206.0,59.0,12.0,3.0,1196.0,3.0,33.0,21.0,21.0,Habib Maiga
Mike Maignan,FRA,GK,Lille,Ligue 1,24.0,1995.0,38.0,1070.0,761.0,309.0,69.0,1.0,43.0,19.0,0,0.0,0.0,0.0,0.0,600.0,40.0,430.0,122.0,729.0,0.0,2.0,192.0,777.0,5.0,33.0,4.0,0.0,Mike Maignan
