Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Touches_Live,Drib_Succ,Drib_Att,Drib_Succ%,Drib_Past,Megs,Carries,TotDist,PrgDist,Prog_Carries,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_Rec,Name_no_spec_chars
Mathieu Cafaro,FRA,MFFW,Reims,Ligue 1,23.0,1997.0,23.0,1092.0,20.0,207.0,514.0,460.0,49.0,1022.0,22.0,48.0,45.8,26.0,2.0,764.0,4588.0,2675.0,122.0,41.0,12.0,46.0,31.0,918.0,762.0,83.0,93.0,Mathieu Cafaro
Gary Cahill,ENG,DF,Crystal Palace,Premier League,34.0,1985.0,20.0,914.0,162.0,576.0,352.0,38.0,26.0,888.0,1.0,2.0,50.0,1.0,0.0,436.0,2290.0,1059.0,24.0,1.0,0.0,3.0,2.0,548.0,520.0,94.9,1.0,Gary Cahill
Yannick Cahuzac,FRA,MF,Lens,Ligue 1,35.0,1985.0,25.0,1090.0,83.0,244.0,674.0,210.0,21.0,1054.0,7.0,10.0,70.0,8.0,0.0,572.0,2837.0,1568.0,80.0,17.0,1.0,14.0,9.0,746.0,653.0,87.5,41.0,Yannick Cahuzac
Felipe Caicedo,ECU,FW,Lazio,Serie A,31.0,1988.0,10.3,383.0,4.0,33.0,191.0,182.0,58.0,375.0,13.0,17.0,76.5,13.0,1.0,249.0,970.0,449.0,20.0,6.0,6.0,23.0,18.0,469.0,300.0,64.0,88.0,Felipe Caicedo
Marc-Aurèle Caillard,FRA,GK,Metz,Ligue 1,26.0,1994.0,4.0,112.0,107.0,112.0,0.0,0.0,0.0,72.0,0.0,0.0,,0.0,0.0,48.0,187.0,100.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,100.0,0.0,Marc Aurele Caillard
Tom Cairney,SCO,MF,Fulham,Premier League,29.0,1991.0,8.4,689.0,10.0,103.0,383.0,252.0,13.0,658.0,12.0,18.0,66.7,12.0,0.0,545.0,2737.0,1269.0,58.0,23.0,1.0,11.0,7.0,610.0,562.0,92.1,31.0,Tom Cairney
Cala,ESP,DF,Cádiz,La Liga,30.0,1989.0,25.2,960.0,148.0,532.0,459.0,32.0,20.0,917.0,5.0,6.0,83.3,6.0,0.0,432.0,2524.0,1115.0,18.0,4.0,0.0,5.0,1.0,469.0,438.0,93.4,4.0,Cala
Arturo Calabresi,ITA,DFFW,Bologna,Serie A,24.0,1996.0,0.2,7.0,4.0,6.0,1.0,0.0,0.0,5.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,Arturo Calabresi
Arturo Calabresi,ITA,DF,Cagliari,Serie A,24.0,1996.0,0.2,20.0,0.0,4.0,6.0,11.0,0.0,16.0,1.0,1.0,100.0,1.0,0.0,11.0,58.0,37.0,2.0,1.0,0.0,0.0,0.0,10.0,9.0,90.0,1.0,Arturo Calabresi
Davide Calabria,ITA,DF,Milan,Serie A,23.0,1996.0,29.4,2118.0,122.0,705.0,1107.0,447.0,37.0,1878.0,17.0,37.0,45.9,17.0,3.0,1282.0,6548.0,3949.0,152.0,48.0,5.0,20.0,15.0,1372.0,1283.0,93.5,61.0,Davide Calabria
