Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Touches_Live,Drib_Succ,Drib_Att,Drib_Succ%,Drib_Past,Megs,Carries,TotDist,PrgDist,Prog_Carries,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_Rec,Name_no_spec_chars
Max Kilman,ENG,DF,Wolves,Premier League,23.0,1997.0,14.6,865.0,84.0,419.0,465.0,39.0,10.0,845.0,3.0,4.0,75.0,3.0,0.0,553.0,2854.0,1569.0,36.0,7.0,0.0,3.0,3.0,621.0,607.0,97.7,2.0,Max Kilman
Joshua Kimmich,GER,MF,Bayern Munich,Bundesliga,25.0,1995.0,24.4,2376.0,83.0,489.0,1365.0,737.0,35.0,2127.0,22.0,34.0,64.7,23.0,1.0,1581.0,10428.0,4973.0,182.0,59.0,5.0,22.0,26.0,1758.0,1659.0,94.4,61.0,Joshua Kimmich
Presnel Kimpembe,FRA,DF,Paris S-G,Ligue 1,24.0,1995.0,25.6,2164.0,229.0,912.0,1307.0,60.0,13.0,2124.0,7.0,10.0,70.0,7.0,0.0,1580.0,7433.0,4070.0,97.0,18.0,0.0,7.0,5.0,1686.0,1667.0,98.9,2.0,Presnel Kimpembe
Joshua King,NOR,MFFW,Everton,Premier League,28.0,1992.0,1.6,81.0,0.0,11.0,39.0,41.0,6.0,81.0,5.0,8.0,62.5,6.0,0.0,62.0,363.0,240.0,14.0,5.0,1.0,6.0,11.0,98.0,60.0,61.2,19.0,Joshua King
Giorgos Kiriakopoulos,GRE,DF,Sassuolo,Serie A,24.0,1996.0,16.2,1221.0,64.0,387.0,549.0,381.0,24.0,1102.0,28.0,45.0,62.2,31.0,1.0,839.0,4314.0,2460.0,116.0,43.0,6.0,20.0,21.0,894.0,834.0,93.3,47.0,Giorgos Kiriakopoulos
Simon Kjær,DEN,DF,Milan,Serie A,31.0,1989.0,26.6,1765.0,297.0,1001.0,808.0,41.0,19.0,1685.0,0.0,0.0,,0.0,0.0,1026.0,4866.0,2614.0,34.0,1.0,0.0,7.0,1.0,1175.0,1155.0,98.3,1.0,Simon Kjaer
Davy Klaassen,NED,MF,Werder Bremen,Bundesliga,27.0,1993.0,2.5,92.0,4.0,14.0,53.0,29.0,2.0,90.0,1.0,3.0,33.3,1.0,0.0,41.0,139.0,56.0,5.0,1.0,0.0,5.0,2.0,51.0,43.0,84.3,10.0,Davy Klaassen
Felix Klaus,GER,DFMF,Wolfsburg,Bundesliga,27.0,1992.0,1.5,93.0,5.0,23.0,43.0,35.0,1.0,83.0,1.0,2.0,50.0,1.0,0.0,47.0,251.0,164.0,7.0,4.0,1.0,2.0,1.0,67.0,53.0,79.1,4.0,Felix Klaus
Klauss,BRA,FW,Hoffenheim,Bundesliga,23.0,1997.0,0.6,29.0,0.0,1.0,11.0,19.0,2.0,28.0,1.0,1.0,100.0,1.0,0.0,23.0,103.0,63.0,1.0,1.0,0.0,1.0,3.0,34.0,22.0,64.7,4.0,Klauss
Ragnar Klavan,EST,DF,Cagliari,Serie A,34.0,1985.0,8.6,482.0,76.0,271.0,218.0,25.0,7.0,463.0,0.0,0.0,,0.0,0.0,265.0,1762.0,883.0,23.0,8.0,0.0,1.0,1.0,304.0,301.0,99.0,0.0,Ragnar Klavan
Philipp Klement,GER,MFFW,Stuttgart,Bundesliga,27.0,1992.0,4.7,414.0,13.0,86.0,229.0,125.0,4.0,359.0,5.0,10.0,50.0,5.0,0.0,264.0,1691.0,761.0,35.0,6.0,0.0,9.0,9.0,307.0,273.0,88.9,20.0,Philipp Klement
Mateusz Klich,POL,MF,Leeds United,Premier League,30.0,1990.0,26.6,1718.0,32.0,272.0,877.0,685.0,73.0,1657.0,13.0,24.0,54.2,16.0,3.0,1080.0,5996.0,2941.0,145.0,65.0,4.0,30.0,27.0,1511.0,1252.0,82.9,189.0,Mateusz Klich
Mateo Klimowicz,GER,FWMF,Stuttgart,Bundesliga,20.0,2000.0,13.3,506.0,5.0,67.0,246.0,237.0,47.0,494.0,24.0,44.0,54.5,27.0,5.0,359.0,2041.0,1227.0,67.0,26.0,13.0,28.0,28.0,503.0,366.0,72.8,81.0,Mateo Klimowicz
Fabian Klos,GER,FW,Arminia,Bundesliga,32.0,1987.0,30.1,1137.0,32.0,93.0,563.0,529.0,132.0,1094.0,11.0,29.0,37.9,12.0,0.0,515.0,2390.0,1118.0,61.0,19.0,6.0,78.0,46.0,1551.0,837.0,54.0,165.0,Fabian Klos
Lukas Klostermann,GER,DF,RB Leipzig,Bundesliga,24.0,1996.0,16.1,1310.0,83.0,435.0,759.0,188.0,27.0,1239.0,3.0,8.0,37.5,4.0,0.0,872.0,4212.0,2258.0,89.0,9.0,2.0,4.0,5.0,968.0,926.0,95.7,12.0,Lukas Klostermann
Justin Kluivert,NED,FWMF,Roma,Serie A,21.0,1999.0,0.2,14.0,0.0,3.0,6.0,9.0,0.0,13.0,0.0,0.0,,0.0,0.0,8.0,94.0,69.0,4.0,3.0,0.0,1.0,1.0,12.0,7.0,58.3,2.0,Justin Kluivert
Justin Kluivert,NED,FW,RB Leipzig,Bundesliga,21.0,1999.0,9.0,369.0,2.0,27.0,130.0,232.0,71.0,362.0,23.0,41.0,56.1,25.0,2.0,300.0,1597.0,914.0,62.0,7.0,19.0,23.0,21.0,445.0,283.0,63.6,86.0,Justin Kluivert
Lukas Klünter,GER,DF,Hertha BSC,Bundesliga,24.0,1996.0,11.0,624.0,39.0,307.0,302.0,62.0,3.0,573.0,6.0,9.0,66.7,6.0,0.0,405.0,2152.0,1073.0,37.0,14.0,0.0,3.0,3.0,382.0,371.0,97.1,7.0,Lukas Klunter
Ansgar Knauff,GER,FWMF,Dortmund,Bundesliga,18.0,2002.0,0.8,41.0,1.0,8.0,17.0,20.0,5.0,40.0,7.0,11.0,63.6,7.0,0.0,37.0,187.0,144.0,7.0,2.0,0.0,2.0,1.0,38.0,30.0,78.9,4.0,Ansgar Knauff
Robin Knoche,GER,DF,Union Berlin,Bundesliga,28.0,1992.0,33.8,2387.0,292.0,1430.0,1084.0,63.0,22.0,2317.0,5.0,8.0,62.5,5.0,0.0,1448.0,9015.0,4741.0,74.0,9.0,0.0,8.0,11.0,1540.0,1507.0,97.9,0.0,Robin Knoche
Gregor Kobel,SUI,GK,Stuttgart,Bundesliga,22.0,1997.0,33.0,1298.0,1135.0,1295.0,4.0,0.0,0.0,976.0,1.0,1.0,100.0,1.0,0.0,664.0,2968.0,1123.0,0.0,0.0,0.0,0.0,0.0,609.0,607.0,99.7,0.0,Gregor Kobel
Robin Koch,GER,DFMF,Leeds United,Premier League,24.0,1996.0,12.6,883.0,156.0,501.0,380.0,51.0,11.0,867.0,2.0,2.0,100.0,2.0,0.0,555.0,3121.0,1986.0,35.0,7.0,0.0,1.0,5.0,597.0,585.0,98.0,6.0,Robin Koch
Giorgi Kochorashvili,GEO,MF,Levante,La Liga,21.0,1999.0,0.3,16.0,0.0,1.0,7.0,9.0,0.0,15.0,1.0,1.0,100.0,1.0,0.0,12.0,36.0,14.0,2.0,0.0,0.0,0.0,0.0,18.0,13.0,72.2,1.0,Giorgi Kochorashvili
Kenan Kodro,BIH,FW,Valladolid,La Liga,26.0,1993.0,5.1,162.0,5.0,11.0,92.0,64.0,17.0,152.0,3.0,10.0,30.0,4.0,0.0,97.0,447.0,142.0,10.0,2.0,3.0,7.0,9.0,276.0,121.0,43.8,19.0,Kenan Kodro
Kenan Kodro,BIH,FWMF,Athletic Club,La Liga,26.0,1993.0,0.5,12.0,0.0,1.0,4.0,7.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,8.0,44.0,30.0,1.0,0.0,0.0,1.0,0.0,18.0,12.0,66.7,5.0,Kenan Kodro
Dominik Kohr,GER,MF,Mainz 05,Bundesliga,26.0,1994.0,14.1,720.0,38.0,179.0,412.0,163.0,21.0,715.0,3.0,6.0,50.0,3.0,1.0,351.0,1605.0,887.0,41.0,13.0,4.0,13.0,15.0,428.0,379.0,88.6,32.0,Dominik Kohr
Dominik Kohr,GER,MFFW,Eint Frankfurt,Bundesliga,26.0,1994.0,2.9,225.0,8.0,38.0,130.0,70.0,8.0,219.0,3.0,3.0,100.0,3.0,0.0,120.0,513.0,266.0,10.0,5.0,1.0,4.0,4.0,162.0,138.0,85.2,17.0,Dominik Kohr
Koba Koindredi,FRA,MF,Valencia,La Liga,18.0,2001.0,0.2,15.0,0.0,3.0,13.0,0.0,0.0,14.0,0.0,0.0,,0.0,0.0,9.0,75.0,41.0,2.0,0.0,0.0,0.0,0.0,10.0,10.0,100.0,0.0,Koba Koindredi
Koke,ESP,MF,Atlético Madrid,La Liga,28.0,1992.0,33.6,2766.0,63.0,534.0,1757.0,592.0,33.0,2652.0,28.0,40.0,70.0,31.0,1.0,1904.0,7286.0,3490.0,168.0,30.0,4.0,26.0,27.0,2219.0,2079.0,93.7,56.0,Koke
Aleksandr Kokorin,RUS,FWMF,Fiorentina,Serie A,29.0,1991.0,1.0,35.0,0.0,3.0,17.0,17.0,1.0,32.0,0.0,0.0,,0.0,0.0,18.0,73.0,42.0,2.0,2.0,0.0,2.0,0.0,42.0,25.0,59.5,12.0,Aleksandr Kokorin
Aleksandar Kolarov,SRB,DF,Inter,Serie A,34.0,1985.0,4.3,407.0,40.0,136.0,239.0,81.0,1.0,371.0,0.0,3.0,0.0,0.0,0.0,278.0,2251.0,1666.0,60.0,19.0,0.0,3.0,0.0,292.0,285.0,97.6,6.0,Aleksandar Kolarov
Sead Kolašinac,BIH,DF,Arsenal,Premier League,27.0,1993.0,1.0,66.0,1.0,14.0,36.0,18.0,1.0,62.0,0.0,0.0,,0.0,0.0,51.0,170.0,113.0,5.0,1.0,0.0,1.0,0.0,52.0,50.0,96.2,6.0,Sead Kolasinac
Sead Kolašinac,BIH,DFMF,Schalke 04,Bundesliga,27.0,1993.0,15.8,875.0,53.0,309.0,420.0,202.0,32.0,777.0,17.0,28.0,60.7,19.0,0.0,527.0,2600.0,1685.0,58.0,20.0,10.0,19.0,7.0,604.0,536.0,88.7,40.0,Sead Kolasinac
Randal Kolo Muani,FRA,FW,Nantes,Ligue 1,21.0,1998.0,33.7,1120.0,32.0,100.0,519.0,575.0,178.0,1084.0,56.0,111.0,50.5,60.0,3.0,755.0,3808.0,2641.0,137.0,26.0,46.0,105.0,93.0,1537.0,783.0,50.9,255.0,Randal Kolo Muani
Timothée Kolodziejczak,FRA,DF,Saint-Étienne,Ligue 1,28.0,1991.0,22.6,1571.0,188.0,877.0,703.0,74.0,15.0,1476.0,2.0,4.0,50.0,2.0,0.0,869.0,5086.0,2861.0,49.0,5.0,0.0,6.0,4.0,1018.0,990.0,97.2,4.0,Timothee Kolodziejczak
Ghislain Konan,CIV,DF,Reims,Ligue 1,24.0,1995.0,29.0,1784.0,129.0,616.0,913.0,440.0,19.0,1517.0,48.0,68.0,70.6,49.0,0.0,1121.0,6867.0,4571.0,186.0,82.0,8.0,30.0,33.0,1137.0,1030.0,90.6,49.0,Ghislain Konan
Ibrahima Konaté,FRA,DF,RB Leipzig,Bundesliga,21.0,1999.0,7.7,633.0,69.0,302.0,358.0,31.0,10.0,618.0,6.0,7.0,85.7,7.0,0.0,473.0,3052.0,1641.0,30.0,6.0,0.0,5.0,5.0,481.0,473.0,98.3,3.0,Ibrahima Konate
Moussa Konaté,SEN,FW,Dijon,Ligue 1,27.0,1993.0,13.3,437.0,7.0,32.0,246.0,176.0,51.0,402.0,6.0,11.0,54.5,7.0,0.0,249.0,921.0,326.0,16.0,5.0,3.0,37.0,15.0,646.0,312.0,48.3,86.0,Moussa Konate
Geoffrey Kondogbia,CTA,MFFW,Atlético Madrid,La Liga,27.0,1993.0,6.8,462.0,21.0,119.0,322.0,49.0,4.0,460.0,7.0,11.0,63.6,7.0,0.0,328.0,1654.0,938.0,35.0,10.0,1.0,3.0,2.0,322.0,303.0,94.1,7.0,Geoffrey Kondogbia
Geoffrey Kondogbia,CTA,MF,Valencia,La Liga,27.0,1993.0,4.9,238.0,15.0,78.0,156.0,21.0,0.0,229.0,6.0,9.0,66.7,6.0,0.0,157.0,906.0,427.0,11.0,2.0,0.0,0.0,3.0,153.0,146.0,95.4,3.0,Geoffrey Kondogbia
Lamine Koné,CIV,DF,Strasbourg,Ligue 1,31.0,1989.0,11.6,568.0,70.0,341.0,257.0,22.0,8.0,547.0,0.0,2.0,0.0,0.0,0.0,314.0,2443.0,1306.0,28.0,5.0,0.0,3.0,2.0,354.0,347.0,98.0,1.0,Lamine Kone
Moussa Koné,SEN,FW,Nîmes,Ligue 1,23.0,1996.0,19.5,542.0,9.0,31.0,320.0,227.0,74.0,495.0,34.0,56.0,60.7,37.0,4.0,367.0,1397.0,701.0,38.0,13.0,12.0,61.0,35.0,830.0,352.0,42.4,117.0,Moussa Kone
Youssouf Koné,MLI,DFFW,Elche,La Liga,25.0,1995.0,0.8,39.0,1.0,19.0,6.0,14.0,2.0,28.0,3.0,4.0,75.0,3.0,0.0,24.0,55.0,19.0,0.0,0.0,0.0,3.0,1.0,27.0,19.0,70.4,6.0,Youssouf Kone
Terence Kongolo,NED,DF,Fulham,Premier League,26.0,1994.0,1.0,51.0,4.0,28.0,24.0,2.0,1.0,51.0,0.0,0.0,,0.0,0.0,25.0,82.0,32.0,1.0,0.0,0.0,0.0,0.0,33.0,31.0,93.9,0.0,Terence Kongolo
Ezri Konsa,ENG,DF,Aston Villa,Premier League,22.0,1997.0,35.5,1606.0,331.0,942.0,640.0,76.0,31.0,1560.0,6.0,10.0,60.0,6.0,0.0,896.0,3463.0,1382.0,22.0,3.0,0.0,5.0,5.0,972.0,927.0,95.4,6.0,Ezri Konsa
Laurent Koscielny,FRA,DF,Bordeaux,Ligue 1,34.0,1985.0,24.6,1594.0,247.0,973.0,703.0,30.0,12.0,1560.0,3.0,3.0,100.0,3.0,0.0,1045.0,6426.0,3319.0,48.0,5.0,0.0,1.0,1.0,1070.0,1046.0,97.8,2.0,Laurent Koscielny
Filip Kostić,SRB,DF,Eint Frankfurt,Bundesliga,27.0,1992.0,28.2,1951.0,42.0,328.0,845.0,921.0,120.0,1642.0,34.0,66.0,51.5,36.0,2.0,1177.0,7326.0,4513.0,232.0,70.0,44.0,48.0,42.0,1424.0,1184.0,83.1,167.0,Filip Kostic
Márk Kosznovszky,HUN,MF,Parma,Serie A,18.0,2002.0,1.0,46.0,1.0,9.0,21.0,18.0,1.0,46.0,0.0,0.0,,0.0,0.0,25.0,148.0,69.0,2.0,1.0,0.0,1.0,0.0,35.0,30.0,85.7,2.0,Mark Kosznovszky
Christian Kouamé,CIV,FW,Fiorentina,Serie A,22.0,1997.0,11.1,487.0,5.0,32.0,228.0,251.0,63.0,470.0,15.0,22.0,68.2,16.0,0.0,325.0,1114.0,381.0,19.0,6.0,8.0,42.0,37.0,620.0,378.0,61.0,124.0,Christian Kouame
Nianzou Kouassi,FRA,DFMF,Bayern Munich,Bundesliga,18.0,2002.0,1.3,99.0,4.0,40.0,62.0,5.0,0.0,97.0,1.0,1.0,100.0,1.0,0.0,67.0,386.0,233.0,12.0,2.0,0.0,1.0,0.0,74.0,72.0,97.3,0.0,Nianzou Kouassi
Kalidou Koulibaly,SEN,DF,Napoli,Serie A,29.0,1991.0,24.5,1964.0,254.0,921.0,1103.0,73.0,16.0,1871.0,12.0,15.0,80.0,12.0,1.0,1337.0,7188.0,3877.0,103.0,20.0,0.0,6.0,5.0,1428.0,1408.0,98.6,3.0,Kalidou Koulibaly
Jules Koundé,FRA,DF,Sevilla,La Liga,21.0,1998.0,33.1,2691.0,350.0,1255.0,1393.0,233.0,54.0,2651.0,32.0,43.0,74.4,35.0,1.0,1915.0,10199.0,5840.0,180.0,49.0,5.0,19.0,14.0,2085.0,2029.0,97.3,25.0,Jules Kounde
Boubakar Kouyaté,MLI,DF,Metz,Ligue 1,23.0,1997.0,21.8,1195.0,222.0,810.0,406.0,31.0,19.0,1172.0,4.0,5.0,80.0,4.0,0.0,575.0,3459.0,1505.0,17.0,3.0,0.0,6.0,6.0,626.0,601.0,96.0,2.0,Boubakar Kouyate
Cheikhou Kouyaté,SEN,DF,Crystal Palace,Premier League,30.0,1989.0,34.7,1565.0,241.0,908.0,646.0,71.0,28.0,1511.0,6.0,9.0,66.7,6.0,0.0,783.0,3715.0,1592.0,28.0,3.0,0.0,4.0,11.0,876.0,830.0,94.7,9.0,Cheikhou Kouyate
Mateo Kovačić,CRO,MF,Chelsea,Premier League,26.0,1994.0,20.2,1934.0,26.0,352.0,1317.0,417.0,17.0,1913.0,44.0,54.0,81.5,44.0,1.0,1497.0,8287.0,4242.0,193.0,58.0,4.0,20.0,30.0,1711.0,1630.0,95.3,45.0,Mateo Kovacic
Viktor Kovalenko,UKR,FW,Atalanta,Serie A,24.0,1996.0,0.0,5.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,50.0,1.0,Viktor Kovalenko
Emil Krafth,SWE,DF,Newcastle Utd,Premier League,25.0,1994.0,14.3,704.0,87.0,349.0,253.0,136.0,9.0,594.0,2.0,6.0,33.3,3.0,0.0,332.0,1603.0,821.0,37.0,11.0,2.0,2.0,4.0,359.0,336.0,93.6,11.0,Emil Krafth
Andrej Kramarić,CRO,FWMF,Hoffenheim,Bundesliga,29.0,1991.0,26.4,1300.0,11.0,122.0,596.0,705.0,144.0,1212.0,41.0,58.0,70.7,42.0,1.0,1020.0,5980.0,3225.0,171.0,65.0,21.0,49.0,48.0,1402.0,1000.0,71.3,240.0,Andrej Kramaric
Christoph Kramer,GER,MF,M'Gladbach,Bundesliga,29.0,1991.0,22.6,1539.0,77.0,447.0,963.0,213.0,17.0,1497.0,23.0,26.0,88.5,23.0,0.0,939.0,4291.0,2291.0,95.0,11.0,4.0,13.0,14.0,1065.0,1007.0,94.6,27.0,Christoph Kramer
Jean-Philippe Krasso,FRA,FW,Saint-Étienne,Ligue 1,23.0,1997.0,2.5,86.0,2.0,8.0,48.0,36.0,12.0,83.0,4.0,7.0,57.1,5.0,0.0,53.0,150.0,66.0,3.0,1.0,0.0,8.0,9.0,104.0,55.0,52.9,22.0,Jean Philippe Krasso
Toni Kroos,GER,MF,Real Madrid,La Liga,30.0,1990.0,23.5,2339.0,40.0,413.0,1418.0,635.0,32.0,2106.0,17.0,23.0,73.9,17.0,0.0,1640.0,7577.0,3989.0,199.0,50.0,10.0,13.0,11.0,1905.0,1836.0,96.4,38.0,Toni Kroos
Filip Krovinović,CRO,MF,West Brom,Premier League,24.0,1995.0,6.1,424.0,7.0,73.0,259.0,119.0,5.0,393.0,8.0,9.0,88.9,8.0,0.0,279.0,1706.0,923.0,44.0,13.0,2.0,7.0,8.0,325.0,288.0,88.6,26.0,Filip Krovinovic
Rade Krunić,BIH,MFFW,Milan,Serie A,26.0,1993.0,8.0,363.0,15.0,84.0,206.0,93.0,15.0,355.0,6.0,10.0,60.0,6.0,0.0,222.0,1144.0,595.0,23.0,7.0,3.0,7.0,7.0,304.0,239.0,78.6,16.0,Rade Krunic
Max Kruse,GER,FWMF,Union Berlin,Bundesliga,32.0,1988.0,18.1,888.0,5.0,89.0,503.0,364.0,42.0,806.0,15.0,19.0,78.9,15.0,2.0,546.0,3237.0,1526.0,86.0,34.0,7.0,33.0,23.0,900.0,654.0,72.7,124.0,Max Kruse
Lukas Kübler,GER,DF,Freiburg,Bundesliga,27.0,1992.0,9.8,520.0,45.0,197.0,233.0,122.0,6.0,437.0,6.0,9.0,66.7,6.0,1.0,244.0,1374.0,535.0,22.0,10.0,0.0,5.0,6.0,269.0,242.0,90.0,13.0,Lukas Kubler
Takefusa Kubo,JPN,MFFW,Villarreal,La Liga,19.0,2001.0,3.3,191.0,3.0,25.0,80.0,107.0,18.0,185.0,12.0,16.0,75.0,13.0,0.0,168.0,1025.0,605.0,34.0,7.0,7.0,8.0,9.0,197.0,145.0,73.6,27.0,Takefusa Kubo
Takefusa Kubo,JPN,MFFW,Getafe,La Liga,19.0,2001.0,8.9,353.0,7.0,32.0,126.0,219.0,31.0,335.0,20.0,44.0,45.5,23.0,2.0,261.0,1262.0,845.0,48.0,12.0,7.0,28.0,19.0,367.0,225.0,61.3,58.0,Takefusa Kubo
Juraj Kucka,SVK,MFFW,Parma,Serie A,33.0,1987.0,25.9,1273.0,53.0,229.0,719.0,389.0,61.0,1249.0,32.0,49.0,65.3,32.0,6.0,748.0,3547.0,1749.0,81.0,21.0,2.0,45.0,47.0,1122.0,892.0,79.5,145.0,Juraj Kucka
Kuki,ESP,MF,Valladolid,La Liga,22.0,1998.0,0.3,15.0,0.0,3.0,7.0,5.0,0.0,15.0,0.0,0.0,,0.0,0.0,8.0,24.0,6.0,0.0,0.0,0.0,2.0,0.0,14.0,9.0,64.3,1.0,Kuki
Dejan Kulusevski,SWE,MFFW,Juventus,Serie A,20.0,2000.0,21.4,1047.0,7.0,126.0,450.0,564.0,143.0,1024.0,35.0,64.0,54.7,36.0,2.0,831.0,5625.0,3586.0,176.0,52.0,42.0,45.0,59.0,1048.0,792.0,75.6,167.0,Dejan Kulusevski
Marash Kumbulla,ALB,DF,Roma,Serie A,20.0,2000.0,15.1,915.0,83.0,398.0,524.0,45.0,9.0,886.0,2.0,2.0,100.0,2.0,0.0,629.0,2913.0,1574.0,54.0,11.0,0.0,5.0,2.0,689.0,669.0,97.1,2.0,Marash Kumbulla
Pierre Kunde,CMR,MF,Mainz 05,Bundesliga,25.0,1995.0,5.7,353.0,16.0,80.0,223.0,69.0,1.0,335.0,1.0,4.0,25.0,1.0,0.0,228.0,1222.0,616.0,15.0,6.0,0.0,4.0,5.0,242.0,221.0,91.3,9.0,Pierre Kunde
Fabian Kunze,GER,MF,Arminia,Bundesliga,22.0,1998.0,14.1,736.0,43.0,221.0,447.0,121.0,7.0,726.0,13.0,18.0,72.2,14.0,2.0,389.0,1919.0,1055.0,26.0,14.0,2.0,6.0,17.0,441.0,400.0,90.7,22.0,Fabian Kunze
Jasmin Kurtić,SVN,MF,Parma,Serie A,31.0,1989.0,30.4,1705.0,83.0,378.0,1011.0,426.0,41.0,1628.0,16.0,28.0,57.1,19.0,1.0,1083.0,6381.0,3101.0,138.0,48.0,1.0,22.0,13.0,1312.0,1170.0,89.2,55.0,Jasmin Kurtic
Layvin Kurzawa,FRA,DF,Paris S-G,Ligue 1,27.0,1992.0,14.2,1146.0,53.0,301.0,557.0,342.0,30.0,1029.0,17.0,31.0,54.8,18.0,0.0,729.0,2505.0,1371.0,68.0,20.0,3.0,22.0,15.0,816.0,755.0,92.5,53.0,Layvin Kurzawa
Dereck Kutesa,SUI,MFFW,Reims,Ligue 1,22.0,1997.0,7.6,273.0,5.0,39.0,119.0,148.0,27.0,270.0,19.0,33.0,57.6,20.0,0.0,215.0,1551.0,1000.0,49.0,14.0,12.0,17.0,27.0,308.0,202.0,65.6,62.0,Dereck Kutesa
Ahmed Kutucu,TUR,FWMF,Schalke 04,Bundesliga,20.0,2000.0,1.2,53.0,0.0,5.0,25.0,28.0,5.0,50.0,3.0,4.0,75.0,3.0,0.0,35.0,229.0,111.0,7.0,3.0,1.0,7.0,2.0,68.0,43.0,63.2,14.0,Ahmed Kutucu
Enock Kwateng,FRA,DF,Bordeaux,Ligue 1,23.0,1997.0,11.5,793.0,47.0,257.0,439.0,133.0,11.0,697.0,12.0,18.0,66.7,13.0,0.0,473.0,2074.0,1290.0,63.0,15.0,0.0,9.0,11.0,495.0,463.0,93.5,10.0,Enock Kwateng
Antonino La Gumina,ITA,FW,Sampdoria,Serie A,24.0,1996.0,3.8,131.0,6.0,12.0,47.0,75.0,24.0,125.0,4.0,5.0,80.0,4.0,0.0,80.0,352.0,189.0,12.0,2.0,5.0,17.0,7.0,232.0,92.0,39.7,36.0,Antonino La Gumina
Gaëtan Laborde,FRA,FWMF,Montpellier,Ligue 1,26.0,1994.0,36.2,1367.0,28.0,163.0,647.0,652.0,211.0,1349.0,34.0,62.0,54.8,37.0,6.0,767.0,4272.0,2833.0,152.0,57.0,27.0,100.0,53.0,1548.0,966.0,62.4,248.0,Gaetan Laborde
Alexandre Lacazette,FRA,FW,Arsenal,Premier League,29.0,1991.0,21.4,761.0,13.0,91.0,352.0,350.0,102.0,722.0,20.0,33.0,60.6,22.0,1.0,495.0,1654.0,665.0,37.0,10.0,6.0,33.0,32.0,914.0,536.0,58.6,155.0,Alexandre Lacazette
Tom Lacoux,FRA,MF,Bordeaux,Ligue 1,18.0,2002.0,5.8,294.0,22.0,98.0,175.0,31.0,0.0,291.0,6.0,9.0,66.7,6.0,0.0,185.0,715.0,265.0,11.0,4.0,0.0,7.0,9.0,186.0,171.0,91.9,6.0,Tom Lacoux
Maxence Lacroix,FRA,DF,Wolfsburg,Bundesliga,20.0,2000.0,28.8,2145.0,275.0,1214.0,1037.0,48.0,25.0,2110.0,11.0,15.0,73.3,12.0,0.0,1398.0,7873.0,4328.0,80.0,8.0,3.0,8.0,11.0,1381.0,1357.0,98.3,6.0,Maxence Lacroix
Alban Lafont,FRA,GK,Nantes,Ligue 1,21.0,1999.0,38.0,1253.0,1047.0,1243.0,12.0,0.0,0.0,869.0,0.0,0.0,,0.0,0.0,526.0,2326.0,1279.0,0.0,0.0,0.0,0.0,0.0,467.0,464.0,99.4,0.0,Alban Lafont
Víctor Laguardia,ESP,DF,Alavés,La Liga,30.0,1989.0,29.2,1332.0,203.0,812.0,550.0,33.0,18.0,1263.0,0.0,0.0,,0.0,0.0,653.0,3179.0,1871.0,29.0,1.0,0.0,3.0,3.0,762.0,736.0,96.6,1.0,Victor Laguardia
Konrad Laimer,AUT,DFFW,RB Leipzig,Bundesliga,23.0,1997.0,0.9,67.0,0.0,11.0,29.0,27.0,2.0,60.0,0.0,2.0,0.0,1.0,0.0,35.0,83.0,27.0,0.0,0.0,0.0,2.0,2.0,51.0,41.0,80.4,4.0,Konrad Laimer
Stefan Lainer,AUT,DF,M'Gladbach,Bundesliga,27.0,1992.0,30.8,2075.0,118.0,595.0,983.0,627.0,59.0,1788.0,19.0,36.0,52.8,20.0,1.0,1201.0,5739.0,3531.0,176.0,58.0,11.0,29.0,34.0,1408.0,1268.0,90.1,95.0,Stefan Lainer
Diego Lainez,MEX,FW,Betis,La Liga,20.0,2000.0,9.6,505.0,7.0,66.0,211.0,278.0,54.0,499.0,27.0,44.0,61.4,28.0,4.0,395.0,2520.0,1569.0,78.0,26.0,15.0,22.0,29.0,471.0,376.0,79.8,50.0,Diego Lainez
Kenny Lala,FRA,DF,Strasbourg,Ligue 1,28.0,1991.0,20.4,1320.0,70.0,372.0,638.0,408.0,18.0,1052.0,20.0,34.0,58.8,21.0,0.0,805.0,4481.0,2594.0,111.0,44.0,3.0,26.0,34.0,872.0,770.0,88.3,40.0,Kenny Lala
Adam Lallana,ENG,MFFW,Brighton,Premier League,32.0,1988.0,17.7,1106.0,33.0,240.0,556.0,382.0,70.0,1086.0,15.0,24.0,62.5,15.0,0.0,780.0,3552.0,1916.0,81.0,21.0,12.0,18.0,17.0,964.0,812.0,84.2,99.0,Adam Lallana
Érik Lamela,ARG,FWMF,Tottenham,Premier League,28.0,1992.0,8.0,474.0,5.0,54.0,267.0,203.0,26.0,442.0,17.0,25.0,68.0,17.0,0.0,348.0,2386.0,1227.0,73.0,28.0,2.0,12.0,20.0,465.0,350.0,75.3,50.0,Erik Lamela
Sam Lammers,NED,FWMF,Atalanta,Serie A,23.0,1997.0,3.2,178.0,5.0,10.0,70.0,104.0,32.0,175.0,16.0,20.0,80.0,17.0,0.0,150.0,426.0,217.0,14.0,4.0,5.0,16.0,11.0,216.0,146.0,67.6,53.0,Sam Lammers
