Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Matches,Name_no_spec_chars
Adrien Rabiot,FRA,MF,Juventus,Serie A,25.0,1995.0,25.7,42.0,1.63,39.0,0.0,1.0,2.0,0.0,0.0,7.0,0.27,5.0,0.0,1.0,1.0,0.0,0.0,Matches,Adrien Rabiot
Uroš Račić,SRB,MF,Valencia,La Liga,22.0,1998.0,24.3,35.0,1.44,25.0,1.0,2.0,5.0,2.0,0.0,5.0,0.21,5.0,0.0,0.0,0.0,0.0,0.0,Matches,Uros Racic
Anthony Racioppi,SUI,GK,Dijon,Ligue 1,21.0,1998.0,21.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Anthony Racioppi
Nemanja Radoja,SRB,MF,Levante,La Liga,27.0,1993.0,12.5,8.0,0.64,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.24,3.0,0.0,0.0,0.0,0.0,0.0,Matches,Nemanja Radoja
Nemanja Radonjić,SRB,FW,Marseille,Ligue 1,24.0,1996.0,4.4,10.0,2.27,7.0,0.0,2.0,1.0,0.0,0.0,1.0,0.23,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Nemanja Radonjic
Nemanja Radonjić,SRB,FWDF,Hertha BSC,Bundesliga,24.0,1996.0,6.8,21.0,3.09,14.0,0.0,5.0,0.0,2.0,0.0,6.0,0.88,3.0,0.0,2.0,0.0,1.0,0.0,Matches,Nemanja Radonjic
Aleksandar Radovanović,SRB,DF,Lens,Ligue 1,26.0,1993.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Aleksandar Radovanovic
Ivan Radovanović,SRB,DFMF,Genoa,Serie A,31.0,1988.0,24.8,7.0,0.28,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Ivan Radovanovic
Ionuț Radu,ROU,GK,Inter,Serie A,23.0,1997.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Ionut Radu
Ștefan Radu,ROU,DF,Lazio,Serie A,33.0,1986.0,27.3,38.0,1.39,37.0,0.0,1.0,0.0,0.0,0.0,6.0,0.22,6.0,0.0,0.0,0.0,0.0,0.0,Matches,Stefan Radu
