Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Name_no_spec_chars
Marcos Acuña,ARG,DF,Sevilla,La Liga,28.0,1991.0,25.9,1,18,3,16.7,0.7,0.12,0.06,0.33,20.7,0.0,0,0,1.1,1.1,0.06,-0.1,-0.1,Marcos Acuna
Che Adams,SCO,FW,Southampton,Premier League,24.0,1996.0,29.6,9,56,31,55.4,1.89,1.05,0.16,0.29,13.1,0.0,0,0,8.8,8.8,0.16,0.2,0.2,Che Adams
Tyler Adams,USA,DFMF,RB Leipzig,Bundesliga,21.0,1999.0,20.6,1,7,4,57.1,0.34,0.19,0.14,0.25,15.4,0.0,0,0,0.9,0.9,0.13,0.1,0.1,Tyler Adams
Sargis Adamyan,ARM,FWMF,Hoffenheim,Bundesliga,27.0,1993.0,5.3,2,21,6,28.6,3.95,1.13,0.1,0.33,14.6,0.0,0,0,2.2,2.2,0.1,-0.2,-0.2,Sargis Adamyan
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,22.0,1997.0,32.8,0,20,5,25.0,0.61,0.15,0.0,0.0,8.8,0.0,0,0,1.1,1.1,0.05,-1.1,-1.1,Tosin Adarabioyo
Bobby Adekanye,NED,FWMF,Cádiz,La Liga,21.0,1999.0,0.4,0,1,0,0.0,2.5,0.0,0.0,,17.5,0.0,0,0,0.2,0.2,0.17,-0.2,-0.2,Bobby Adekanye
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,20.0,2000.0,26.9,2,24,9,37.5,0.89,0.33,0.08,0.22,19.9,1.0,0,0,1.4,1.4,0.06,0.6,0.6,Yacine Adli
Andrea Adorante,ITA,FW,Parma,Serie A,20.0,2000.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Andrea Adorante
Adrián,ESP,GK,Liverpool,Premier League,33.0,1987.0,3.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Adrian
Martin Agirregabiria,ESP,DFMF,Alavés,La Liga,24.0,1996.0,17.3,0,2,0,0.0,0.12,0.0,0.0,,14.3,0.0,0,0,0.2,0.2,0.1,-0.2,-0.2,Martin Agirregabiria
Lucien Agoume,FRA,MF,Spezia,Serie A,18.0,2002.0,8.9,0,2,0,0.0,0.23,0.0,0.0,,20.5,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Lucien Agoume
Felix Agu,GER,DF,Werder Bremen,Bundesliga,20.0,1999.0,7.8,1,4,1,25.0,0.51,0.13,0.25,1.0,19.7,0.0,0,0,0.6,0.6,0.14,0.4,0.4,Felix Agu
Kevin Agudelo,COL,FW,Spezia,Serie A,21.0,1998.0,15.1,1,19,4,21.1,1.26,0.27,0.05,0.25,17.3,0.0,0,0,1.9,1.9,0.1,-0.9,-0.9,Kevin Agudelo
Nayef Aguerd,MAR,DF,Rennes,Ligue 1,24.0,1996.0,35.0,3,29,6,20.7,0.83,0.17,0.1,0.5,8.8,0.0,0,0,2.9,2.9,0.1,0.1,0.1,Nayef Aguerd
