Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG,npxG,xA,npxG+xA,xG_per90,xA_per90,xG+xA_per90,npxG_per90,npxG+xA_per90,Name_no_spec_chars
Omar Alderete,PAR,DF,Hertha BSC,Bundesliga,23.0,1996.0,17,14,1299,14.4,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.6,0.03,0.01,0.04,0.03,0.04,Omar Alderete
Toby Alderweireld,BEL,DF,Tottenham,Premier League,31.0,1989.0,25,25,2240,24.9,1,0,1,0,0,2,0,0.04,0.0,0.04,0.04,0.04,0.8,0.8,0.3,1.2,0.03,0.01,0.05,0.03,0.05,Toby Alderweireld
Iván Alejo,ESP,MFFW,Cádiz,La Liga,25.0,1995.0,22,6,827,9.2,1,1,1,0,0,5,0,0.11,0.11,0.22,0.11,0.22,1.0,1.0,0.8,1.7,0.11,0.08,0.19,0.11,0.19,Ivan Alejo
Carles Aleñá,ESP,MF,Barcelona,La Liga,22.0,1998.0,2,0,48,0.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Carles Alena
Carles Aleñá,ESP,MFFW,Getafe,La Liga,22.0,1998.0,22,15,1366,15.2,2,2,2,0,0,1,0,0.13,0.13,0.26,0.13,0.26,1.9,1.9,2.0,3.9,0.12,0.13,0.26,0.12,0.26,Carles Alena
Rúnar Alex Rúnarsson,ISL,GK,Arsenal,Premier League,25.0,1995.0,1,0,16,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Runar Alex Runarsson
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,21.0,1998.0,36,34,3031,33.7,2,7,2,0,0,2,0,0.06,0.21,0.27,0.06,0.27,2.8,2.8,8.1,10.8,0.08,0.24,0.32,0.08,0.32,Trent Alexander Arnold
Alfon,ESP,MF,Celta Vigo,La Liga,21.0,1999.0,2,0,34,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.13,0.22,0.35,0.13,0.35,Alfon
Mohamed Ali Cho,FRA,FWMF,Angers,Ligue 1,16.0,2004.0,21,1,348,3.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.1,1.5,0.36,0.03,0.39,0.36,0.39,Mohamed Ali Cho
Ezgjan Alioski,MKD,DF,Leeds United,Premier League,28.0,1992.0,36,29,2461,27.3,2,3,2,0,0,7,0,0.07,0.11,0.18,0.07,0.18,1.5,1.5,3.1,4.6,0.05,0.11,0.17,0.05,0.17,Ezgjan Alioski
Rachid Alioui,MAR,FW,Angers,Ligue 1,28.0,1992.0,1,0,15,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rachid Alioui
Alisson,BRA,GK,Liverpool,Premier League,27.0,1992.0,33,33,2970,33.0,1,0,1,0,0,1,0,0.03,0.0,0.03,0.03,0.03,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,Alisson
Saturnin Allagbé,BEN,GK,Dijon,Ligue 1,26.0,1993.0,12,12,1080,12.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Saturnin Allagbe
Allan,BRA,MF,Everton,Premier League,29.0,1991.0,24,23,2051,22.8,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.9,1.1,0.01,0.04,0.05,0.01,0.05,Allan
Dele Alli,ENG,MF,Tottenham,Premier League,24.0,1996.0,15,7,620,6.9,0,1,0,0,0,0,0,0.0,0.15,0.15,0.0,0.15,1.3,1.3,0.9,2.2,0.19,0.13,0.32,0.19,0.32,Dele Alli
Miguel Almirón,PAR,MFFW,Newcastle Utd,Premier League,26.0,1994.0,34,28,2429,27.0,4,1,4,0,0,3,0,0.15,0.04,0.19,0.15,0.19,3.2,3.2,2.8,5.9,0.12,0.1,0.22,0.12,0.22,Miguel Almiron
Marcos Alonso,ESP,DF,Chelsea,Premier League,29.0,1990.0,13,11,960,10.7,2,0,2,0,0,2,0,0.19,0.0,0.19,0.19,0.19,1.7,1.7,1.1,2.8,0.16,0.11,0.27,0.16,0.27,Marcos Alonso
Sergio Álvarez,ESP,MFDF,Eibar,La Liga,28.0,1992.0,27,17,1568,17.4,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.9,1.2,0.02,0.05,0.07,0.02,0.07,Sergio Alvarez
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,25.0,1995.0,23,22,1948,21.6,1,0,1,0,0,6,0,0.05,0.0,0.05,0.05,0.05,0.5,0.5,0.4,0.9,0.02,0.02,0.04,0.02,0.04,Yeray Alvarez
Bruno Alves,POR,DF,Parma,Serie A,38.0,1981.0,19,18,1632,18.1,1,0,1,0,0,3,0,0.06,0.0,0.06,0.06,0.06,0.3,0.3,0.1,0.4,0.02,0.01,0.02,0.02,0.02,Bruno Alves
Steven Alzate,COL,MFDF,Brighton,Premier League,21.0,1998.0,15,10,896,10.0,1,0,1,0,0,2,0,0.1,0.0,0.1,0.1,0.1,0.7,0.7,0.5,1.1,0.07,0.05,0.11,0.07,0.11,Steven Alzate
Ibrahim Amadou,FRA,MF,Angers,Ligue 1,27.0,1993.0,24,20,1504,16.7,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,0.3,2.4,0.12,0.02,0.14,0.12,0.14,Ibrahim Amadou
Romain Amalfitano,FRA,FWDF,Dijon,Ligue 1,30.0,1989.0,2,1,116,1.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.02,0.04,0.03,0.04,Romain Amalfitano
Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,La Liga,18.0,2001.0,1,0,45,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Emmanuel Amankwaa Akurugu
Daniel Amartey,GHA,DF,Leicester City,Premier League,25.0,1994.0,12,8,722,8.0,1,0,1,0,0,3,0,0.12,0.0,0.12,0.12,0.12,0.4,0.4,0.0,0.4,0.05,0.0,0.05,0.05,0.05,Daniel Amartey
Jordan Amavi,FRA,DF,Marseille,Ligue 1,26.0,1994.0,13,10,813,9.0,1,0,1,0,0,3,1,0.11,0.0,0.11,0.11,0.11,0.2,0.2,0.3,0.5,0.02,0.03,0.06,0.02,0.06,Jordan Amavi
Thierry Ambrose,FRA,FW,Metz,Ligue 1,23.0,1997.0,23,5,753,8.4,0,1,0,0,0,4,0,0.0,0.12,0.12,0.0,0.12,1.4,1.4,1.5,2.9,0.17,0.18,0.35,0.17,0.35,Thierry Ambrose
Wisdom Amey,ITA,DF,Bologna,Serie A,14.0,2005.0,1,0,2,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wisdom Amey
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,23.0,1996.0,29,20,1890,21.0,2,6,2,0,0,5,0,0.1,0.29,0.38,0.1,0.38,2.1,2.1,2.9,5.1,0.1,0.14,0.24,0.1,0.24,Nadiem Amiri
Ethan Ampadu,WAL,DFMF,Sheffield Utd,Premier League,19.0,2000.0,25,23,2089,23.2,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.9,1.3,0.01,0.04,0.06,0.01,0.06,Ethan Ampadu
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,23.0,1996.0,31,28,2441,27.1,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.9,0.02,0.02,0.03,0.02,0.03,Sofyan Amrabat
Jon Ander Garrido,ESP,MF,Cádiz,La Liga,30.0,1989.0,23,7,800,8.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.4,0.04,0.01,0.05,0.04,0.05,Jon Ander Garrido
Joachim Andersen,DEN,DF,Lyon,Ligue 1,24.0,1996.0,3,2,192,2.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.14,0.0,0.14,0.14,0.14,Joachim Andersen
Joachim Andersen,DEN,DF,Fulham,Premier League,24.0,1996.0,31,30,2730,30.3,1,1,1,0,0,7,1,0.03,0.03,0.07,0.03,0.07,1.1,1.1,0.5,1.6,0.04,0.02,0.05,0.04,0.05,Joachim Andersen
Djavan Anderson,NED,DF,Lazio,Serie A,25.0,1995.0,3,1,72,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Djavan Anderson
Elliot Anderson,SCO,MF,Newcastle Utd,Premier League,17.0,2002.0,1,0,4,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Elliot Anderson
Felipe Anderson,BRA,FWMF,West Ham,Premier League,27.0,1993.0,2,0,3,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Felipe Anderson
Sebastian Andersson,SWE,FW,Köln,Bundesliga,29.0,1991.0,16,14,1126,12.5,3,0,2,1,1,1,0,0.24,0.0,0.24,0.16,0.16,5.5,4.7,0.3,5.1,0.44,0.03,0.47,0.38,0.41,Sebastian Andersson
Nícolas Andrade,BRA,GK,Udinese,Serie A,32.0,1988.0,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nicolas Andrade
Benjamin André,FRA,MF,Lille,Ligue 1,29.0,1990.0,35,35,2885,32.1,0,1,0,0,0,10,0,0.0,0.03,0.03,0.0,0.03,1.1,1.1,1.3,2.4,0.03,0.04,0.08,0.03,0.08,Benjamin Andre
Robert Andrich,GER,MF,Union Berlin,Bundesliga,25.0,1994.0,29,29,2526,28.1,5,2,5,0,0,5,1,0.18,0.07,0.25,0.18,0.25,2.5,2.5,2.2,4.7,0.09,0.08,0.17,0.09,0.17,Robert Andrich
Victorien Angban,CIV,MF,Metz,Ligue 1,23.0,1996.0,26,21,1672,18.6,0,1,0,0,0,5,0,0.0,0.05,0.05,0.0,0.05,0.3,0.3,0.5,0.8,0.02,0.03,0.04,0.02,0.04,Victorien Angban
