Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Tkl_Def_3rd,Tkl_Mid_3rd,Tkl_Att_3rd,Tkl_vs_Drib,Att_vs_Drib,Tkl%_vs_Drib,Past_vs_Drib,Press,Press_Succ,Press_Succ_%,Press_Def_3rd,Press_Mid_3rd,Press_Att_3rd,Blocks,Shot_Blocks,SoT_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Name_no_spec_chars
Kevin Lasagna,ITA,FW,Hellas Verona,Serie A,27.0,1992.0,14.1,6.0,1,0.0,4.0,2.0,2.0,5.0,40.0,3.0,193.0,49.0,25.4,10.0,59.0,124.0,11.0,1.0,0.0,10.0,4,10.0,10.0,0.0,Kevin Lasagna
Jamaal Lascelles,ENG,DF,Newcastle Utd,Premier League,26.0,1993.0,18.1,19.0,12,11.0,6.0,2.0,4.0,6.0,66.7,2.0,148.0,53.0,35.8,89.0,52.0,7.0,39.0,18.0,2.0,21.0,15,34.0,108.0,1.0,Jamaal Lascelles
Paul Lasne,FRA,MF,Brest,Ligue 1,31.0,1989.0,18.7,55.0,36,34.0,19.0,2.0,12.0,36.0,33.3,24.0,426.0,112.0,26.3,216.0,170.0,40.0,33.0,7.0,0.0,26.0,34,89.0,25.0,0.0,Paul Lasne
Toni Lato,ESP,DF,Valencia,La Liga,22.0,1997.0,8.1,10.0,6,6.0,1.0,3.0,8.0,18.0,44.4,10.0,134.0,39.0,29.1,68.0,43.0,23.0,27.0,1.0,0.0,26.0,11,21.0,17.0,0.0,Toni Lato
Danny Latza,GER,MF,Mainz 05,Bundesliga,30.0,1989.0,20.0,47.0,31,18.0,19.0,10.0,21.0,73.0,28.8,52.0,476.0,145.0,30.5,150.0,240.0,86.0,51.0,7.0,0.0,44.0,27,74.0,28.0,0.0,Danny Latza
Armand Lauriente,FRA,FWMF,Lorient,Ligue 1,21.0,1998.0,18.0,25.0,17,9.0,16.0,0.0,6.0,21.0,28.6,15.0,266.0,77.0,28.9,51.0,133.0,82.0,17.0,0.0,0.0,17.0,14,39.0,5.0,0.0,Armand Lauriente
Vincent Laurini,FRA,DF,Parma,Serie A,31.0,1989.0,9.7,18.0,13,13.0,3.0,2.0,8.0,10.0,80.0,2.0,127.0,32.0,25.2,70.0,43.0,14.0,17.0,4.0,0.0,13.0,15,33.0,20.0,0.0,Vincent Laurini
Lauti,URU,MFFW,Celta Vigo,La Liga,19.0,2001.0,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,1.0,33.3,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,Lauti
Wesley Lautoa,NCL,MFDF,Dijon,Ligue 1,32.0,1987.0,17.9,40.0,28,20.0,18.0,2.0,11.0,43.0,25.6,32.0,310.0,95.0,30.6,131.0,164.0,15.0,23.0,8.0,0.0,15.0,29,69.0,52.0,0.0,Wesley Lautoa
Valentino Lazaro,AUT,DFFW,M'Gladbach,Bundesliga,24.0,1996.0,13.8,18.0,9,10.0,5.0,3.0,8.0,20.0,40.0,12.0,224.0,56.0,25.0,68.0,96.0,60.0,27.0,1.0,0.0,26.0,18,36.0,16.0,0.0,Valentino Lazaro
Darko Lazović,SRB,DF,Hellas Verona,Serie A,29.0,1990.0,27.8,27.0,20,8.0,16.0,3.0,13.0,40.0,32.5,27.0,209.0,67.0,32.1,60.0,88.0,61.0,39.0,9.0,0.0,30.0,20,47.0,36.0,0.0,Darko Lazovic
Manuel Lazzari,ITA,DF,Lazio,Serie A,26.0,1993.0,29.0,28.0,15,13.0,10.0,5.0,15.0,43.0,34.9,28.0,269.0,70.0,26.0,93.0,108.0,68.0,40.0,4.0,0.0,36.0,24,52.0,33.0,0.0,Manuel Lazzari
Jérémy Le Douaron,FRA,FWMF,Brest,Ligue 1,22.0,1998.0,9.1,15.0,6,8.0,5.0,2.0,6.0,19.0,31.6,13.0,175.0,41.0,23.4,57.0,75.0,43.0,16.0,1.0,0.0,15.0,6,21.0,13.0,0.0,Jeremy Le Douaron
Enzo Le Fée,FRA,MFFW,Lorient,Ligue 1,20.0,2000.0,20.2,52.0,36,19.0,28.0,5.0,23.0,74.0,31.1,51.0,491.0,121.0,24.6,147.0,267.0,77.0,40.0,7.0,0.0,33.0,27,79.0,12.0,0.0,Enzo Le Fee
Vincent Le Goff,FRA,DF,Lorient,Ligue 1,30.0,1989.0,25.6,50.0,23,27.0,20.0,3.0,20.0,52.0,38.5,32.0,339.0,116.0,34.2,151.0,148.0,40.0,48.0,4.0,1.0,44.0,39,89.0,55.0,0.0,Vincent Le Goff
Maxime Le Marchand,FRA,DF,Fulham,Premier League,30.0,1989.0,1.4,2.0,1,2.0,0.0,0.0,1.0,1.0,100.0,0.0,9.0,2.0,22.2,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0,2.0,7.0,0.0,Maxime Le Marchand
Robin Le Normand,FRA,DF,Real Sociedad,La Liga,23.0,1996.0,30.5,40.0,21,29.0,11.0,0.0,12.0,21.0,57.1,9.0,250.0,73.0,29.2,147.0,95.0,8.0,43.0,23.0,0.0,20.0,34,74.0,178.0,2.0,Robin Le Normand
Damien Le Tallec,FRA,MFDF,Montpellier,Ligue 1,30.0,1990.0,13.6,17.0,7,10.0,6.0,1.0,7.0,25.0,28.0,18.0,186.0,53.0,28.5,77.0,85.0,24.0,23.0,8.0,0.0,15.0,23,40.0,37.0,2.0,Damien Le Tallec
James Lea Siliki,CMR,MF,Rennes,Ligue 1,24.0,1996.0,2.8,4.0,4,0.0,3.0,1.0,1.0,3.0,33.3,2.0,44.0,14.0,31.8,9.0,28.0,7.0,3.0,1.0,0.0,2.0,0,4.0,2.0,1.0,James Lea Siliki
Rafael Leão,POR,FW,Milan,Serie A,21.0,1999.0,21.4,13.0,9,4.0,7.0,2.0,4.0,16.0,25.0,12.0,231.0,54.0,23.4,23.0,90.0,118.0,26.0,0.0,0.0,26.0,5,18.0,15.0,0.0,Rafael Leao
Jean-Louis Leca,FRA,GK,Lens,Ligue 1,34.0,1985.0,36.8,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,9.0,4.0,44.4,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Jean Louis Leca
Mathew Leckie,AUS,FWDF,Hertha BSC,Bundesliga,29.0,1991.0,5.6,13.0,9,6.0,5.0,2.0,4.0,15.0,26.7,11.0,145.0,37.0,25.5,33.0,72.0,40.0,16.0,0.0,0.0,16.0,11,24.0,12.0,1.0,Mathew Leckie
Benjamin Lecomte,FRA,GK,Monaco,Ligue 1,29.0,1991.0,28.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,1.0,16.7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,0.0,Benjamin Lecomte
Jeremías Ledesma,ARG,GK,Cádiz,La Liga,27.0,1993.0,32.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0,0.0,2.0,6.0,Jeremias Ledesma
Pierre Lees-Melou,FRA,MF,Nice,Ligue 1,27.0,1993.0,22.9,85.0,47,34.0,41.0,10.0,31.0,92.0,33.7,61.0,505.0,146.0,28.9,156.0,249.0,100.0,53.0,14.0,0.0,39.0,32,117.0,37.0,0.0,Pierre Lees Melou
Lucas Leiva,BRA,MF,Lazio,Serie A,33.0,1987.0,23.7,70.0,45,37.0,31.0,2.0,29.0,92.0,31.5,63.0,503.0,169.0,33.6,203.0,261.0,39.0,28.0,1.0,0.0,27.0,45,115.0,46.0,0.0,Lucas Leiva
Florian Lejeune,FRA,DF,Alavés,La Liga,29.0,1991.0,33.5,48.0,29,38.0,10.0,0.0,20.0,30.0,66.7,10.0,263.0,93.0,35.4,171.0,82.0,10.0,54.0,24.0,2.0,30.0,58,106.0,228.0,0.0,Florian Lejeune
Iñigo Lekue,ESP,DF,Athletic Club,La Liga,27.0,1993.0,7.2,13.0,8,8.0,5.0,0.0,5.0,13.0,38.5,8.0,110.0,28.0,25.5,46.0,41.0,23.0,18.0,3.0,0.0,15.0,6,19.0,21.0,0.0,Inigo Lekue
Thomas Lemar,FRA,MF,Atlético Madrid,La Liga,24.0,1995.0,15.2,33.0,19,11.0,18.0,4.0,11.0,29.0,37.9,18.0,311.0,85.0,27.3,66.0,166.0,79.0,26.0,2.0,0.0,24.0,12,45.0,7.0,0.0,Thomas Lemar
Mario Lemina,GAB,MF,Fulham,Premier League,26.0,1993.0,18.9,61.0,36,30.0,23.0,8.0,19.0,40.0,47.5,21.0,317.0,105.0,33.1,123.0,152.0,42.0,28.0,6.0,0.0,22.0,43,104.0,37.0,0.0,Mario Lemina
Fabien Lemoine,FRA,MF,Lorient,Ligue 1,33.0,1987.0,21.5,73.0,44,35.0,35.0,3.0,26.0,86.0,30.2,60.0,545.0,160.0,29.4,232.0,271.0,42.0,27.0,1.0,0.0,26.0,30,103.0,46.0,0.0,Fabien Lemoine
Clément Lenglet,FRA,DF,Barcelona,La Liga,25.0,1995.0,27.5,41.0,25,28.0,11.0,2.0,14.0,26.0,53.8,12.0,338.0,123.0,36.4,176.0,139.0,23.0,39.0,13.0,0.0,26.0,35,76.0,87.0,0.0,Clement Lenglet
Bernd Leno,GER,GK,Arsenal,Premier League,28.0,1992.0,34.8,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,2.0,66.7,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,Bernd Leno
Christopher Lenz,GER,DF,Union Berlin,Bundesliga,25.0,1994.0,25.0,77.0,40,44.0,29.0,4.0,29.0,69.0,42.0,40.0,411.0,130.0,31.6,183.0,162.0,66.0,50.0,8.0,1.0,42.0,33,110.0,53.0,0.0,Christopher Lenz
Pedro León,ESP,MFFW,Eibar,La Liga,33.0,1986.0,10.4,10.0,7,3.0,4.0,3.0,6.0,24.0,25.0,18.0,141.0,50.0,35.5,30.0,69.0,42.0,18.0,1.0,0.0,17.0,5,15.0,8.0,0.0,Pedro Leon
Sergio León,ESP,FW,Levante,La Liga,31.0,1989.0,8.3,7.0,3,0.0,4.0,3.0,1.0,7.0,14.3,6.0,133.0,33.0,24.8,14.0,58.0,61.0,5.0,0.0,0.0,5.0,4,11.0,4.0,0.0,Sergio Leon
Lukas Lerager,DEN,MF,Genoa,Serie A,27.0,1993.0,12.9,27.0,20,15.0,10.0,2.0,4.0,28.0,14.3,24.0,220.0,60.0,27.3,72.0,104.0,44.0,20.0,3.0,0.0,17.0,13,40.0,24.0,2.0,Lukas Lerager
Mehdi Léris,FRA,DFMF,Sampdoria,Serie A,22.0,1998.0,4.3,14.0,9,6.0,5.0,3.0,6.0,15.0,40.0,9.0,130.0,29.0,22.3,47.0,52.0,31.0,19.0,4.0,0.0,15.0,12,26.0,10.0,0.0,Mehdi Leris
Khanya Leshabela,RSA,MF,Leicester City,Premier League,20.0,1999.0,0.1,1.0,0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,Khanya Leshabela
Karlo Letica,CRO,GK,Sampdoria,Serie A,23.0,1997.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Karlo Letica
Gaetano Letizia,ITA,DF,Benevento,Serie A,30.0,1990.0,17.4,40.0,27,25.0,12.0,3.0,14.0,39.0,35.9,25.0,198.0,58.0,29.3,111.0,68.0,19.0,38.0,5.0,0.0,33.0,22,62.0,34.0,2.0,Gaetano Letizia
Robert Lewandowski,POL,FW,Bayern Munich,Bundesliga,31.0,1988.0,27.3,18.0,13,2.0,8.0,8.0,4.0,14.0,28.6,10.0,324.0,105.0,32.4,12.0,89.0,223.0,9.0,2.0,0.0,7.0,7,25.0,8.0,0.0,Robert Lewandowski
Jamal Lewis,NIR,DF,Newcastle Utd,Premier League,22.0,1998.0,20.4,50.0,26,34.0,14.0,2.0,21.0,41.0,51.2,20.0,336.0,81.0,24.1,180.0,122.0,34.0,35.0,7.0,0.0,28.0,20,70.0,35.0,1.0,Jamal Lewis
Aaron Leya Iseka,BEL,FW,Metz,Ligue 1,22.0,1997.0,11.2,9.0,5,3.0,3.0,3.0,3.0,10.0,30.0,7.0,121.0,26.0,21.5,4.0,56.0,61.0,6.0,3.0,0.0,3.0,2,11.0,4.0,0.0,Aaron Leya Iseka
Yanis Lhery,FRA,MFFW,Saint-Étienne,Ligue 1,17.0,2003.0,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,Yanis Lhery
Dimitri Liénard,FRA,MF,Strasbourg,Ligue 1,32.0,1988.0,20.3,50.0,31,22.0,22.0,6.0,23.0,52.0,44.2,29.0,343.0,106.0,30.9,108.0,190.0,45.0,33.0,1.0,0.0,32.0,28,78.0,13.0,0.0,Dimitri Lienard
Philipp Lienhart,AUT,DF,Freiburg,Bundesliga,24.0,1996.0,33.3,28.0,15,18.0,9.0,1.0,4.0,21.0,19.0,17.0,209.0,64.0,30.6,117.0,84.0,8.0,54.0,23.0,0.0,31.0,44,72.0,137.0,1.0,Philipp Lienhart
Matthijs de Ligt,NED,DF,Juventus,Serie A,20.0,1999.0,24.7,33.0,19,20.0,12.0,1.0,13.0,20.0,65.0,7.0,229.0,77.0,33.6,114.0,103.0,12.0,38.0,15.0,0.0,23.0,28,61.0,100.0,0.0,Matthijs de Ligt
Isaac Lihadji,FRA,MFDF,Lille,Ligue 1,18.0,2002.0,2.2,9.0,6,1.0,6.0,2.0,4.0,6.0,66.7,2.0,46.0,14.0,30.4,6.0,20.0,20.0,6.0,0.0,0.0,6.0,0,9.0,1.0,0.0,Isaac Lihadji
Dimitris Limnios,GRE,MFFW,Köln,Bundesliga,22.0,1998.0,4.2,8.0,5,5.0,2.0,1.0,3.0,6.0,50.0,3.0,73.0,22.0,30.1,22.0,34.0,17.0,6.0,0.0,0.0,6.0,1,9.0,1.0,0.0,Dimitris Limnios
Victor Lindelöf,SWE,DF,Manchester Utd,Premier League,26.0,1994.0,28.7,26.0,16,17.0,9.0,0.0,12.0,21.0,57.1,9.0,192.0,67.0,34.9,117.0,67.0,8.0,40.0,17.0,0.0,23.0,32,58.0,132.0,2.0,Victor Lindelof
Karol Linetty,POL,MF,Torino,Serie A,25.0,1995.0,20.4,50.0,30,18.0,22.0,10.0,12.0,39.0,30.8,27.0,324.0,91.0,28.1,113.0,157.0,54.0,22.0,6.0,0.0,16.0,16,66.0,10.0,0.0,Karol Linetty
Jesse Lingard,ENG,MFFW,West Ham,Premier League,27.0,1992.0,15.8,15.0,10,5.0,7.0,3.0,5.0,16.0,31.3,11.0,335.0,71.0,21.2,48.0,186.0,101.0,7.0,1.0,0.0,6.0,7,22.0,1.0,0.0,Jesse Lingard
Pol Lirola,ESP,DFFW,Fiorentina,Serie A,22.0,1997.0,5.5,9.0,5,5.0,3.0,1.0,2.0,5.0,40.0,3.0,44.0,19.0,43.2,17.0,18.0,9.0,14.0,3.0,0.0,11.0,5,14.0,12.0,0.0,Pol Lirola
Pol Lirola,ESP,DF,Marseille,Ligue 1,22.0,1997.0,17.3,31.0,15,17.0,12.0,2.0,15.0,37.0,40.5,22.0,201.0,67.0,33.3,73.0,71.0,57.0,30.0,6.0,0.0,24.0,31,62.0,34.0,0.0,Pol Lirola
Jake Livermore,ENG,MF,West Brom,Premier League,30.0,1989.0,13.8,29.0,19,10.0,17.0,2.0,11.0,32.0,34.4,21.0,244.0,67.0,27.5,75.0,132.0,37.0,33.0,7.0,0.0,26.0,19,48.0,33.0,0.0,Jake Livermore
Diego Llorente,ESP,DF,Leeds United,Premier League,26.0,1993.0,13.4,39.0,27,24.0,15.0,0.0,16.0,26.0,61.5,10.0,250.0,89.0,35.6,152.0,94.0,4.0,25.0,13.0,0.0,12.0,41,80.0,72.0,1.0,Diego Llorente
Diego Llorente,ESP,DF,Real Sociedad,La Liga,26.0,1993.0,1.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,2.0,28.6,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,11.0,0.0,Diego Llorente
Fernando Llorente,ESP,FW,Udinese,Serie A,35.0,1985.0,7.9,4.0,2,1.0,3.0,0.0,3.0,6.0,50.0,3.0,117.0,23.0,19.7,17.0,63.0,37.0,2.0,0.0,0.0,2.0,4,8.0,16.0,0.0,Fernando Llorente
Fernando Llorente,ESP,FWMF,Napoli,Serie A,35.0,1985.0,0.6,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,2.0,33.3,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Fernando Llorente
Marcos Llorente,ESP,MFDF,Atlético Madrid,La Liga,25.0,1995.0,32.8,73.0,44,24.0,34.0,15.0,26.0,54.0,48.1,28.0,649.0,192.0,29.6,130.0,334.0,185.0,63.0,5.0,0.0,58.0,31,104.0,31.0,0.0,Marcos Llorente
Hugo Lloris,FRA,GK,Tottenham,Premier League,33.0,1986.0,38.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1.0,Hugo Lloris
Giovani Lo Celso,ARG,MF,Tottenham,Premier League,24.0,1996.0,10.5,33.0,23,16.0,11.0,6.0,10.0,31.0,32.3,21.0,290.0,91.0,31.4,94.0,148.0,48.0,11.0,1.0,0.0,10.0,8,41.0,9.0,0.0,Giovani Lo Celso
Stanislav Lobotka,SVK,MF,Napoli,Serie A,25.0,1994.0,1.7,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,21.0,5.0,23.8,4.0,10.0,7.0,1.0,1.0,0.0,0.0,1,2.0,1.0,0.0,Stanislav Lobotka
Manuel Locatelli,ITA,MF,Sassuolo,Serie A,22.0,1998.0,32.0,87.0,52,35.0,37.0,15.0,25.0,56.0,44.6,31.0,461.0,141.0,30.6,168.0,213.0,80.0,57.0,17.0,0.0,40.0,43,130.0,70.0,1.0,Manuel Locatelli
Renan Lodi,BRA,DF,Atlético Madrid,La Liga,22.0,1998.0,12.5,32.0,16,16.0,11.0,5.0,13.0,25.0,52.0,12.0,190.0,66.0,34.7,59.0,91.0,40.0,27.0,0.0,0.0,27.0,23,55.0,25.0,0.0,Renan Lodi
Ruben Loftus-Cheek,ENG,FW,Chelsea,Premier League,24.0,1996.0,0.7,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,14.0,4.0,28.6,3.0,7.0,4.0,1.0,0.0,0.0,1.0,1,1.0,0.0,0.0,Ruben Loftus Cheek
Ruben Loftus-Cheek,ENG,MFFW,Fulham,Premier League,24.0,1996.0,21.2,32.0,22,11.0,15.0,6.0,9.0,22.0,40.9,13.0,337.0,100.0,29.7,62.0,175.0,100.0,24.0,2.0,0.0,22.0,23,55.0,15.0,0.0,Ruben Loftus Cheek
Niklas Lomb,GER,GK,Leverkusen,Bundesliga,27.0,1993.0,1.5,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,Niklas Lomb
Kevin Long,IRL,DF,Burnley,Premier League,29.0,1990.0,7.1,14.0,8,10.0,4.0,0.0,5.0,8.0,62.5,3.0,53.0,20.0,37.7,34.0,18.0,1.0,9.0,5.0,0.0,4.0,4,18.0,31.0,0.0,Kevin Long
Shane Long,IRL,FWMF,Southampton,Premier League,33.0,1987.0,2.3,2.0,0,0.0,0.0,2.0,1.0,3.0,33.3,2.0,34.0,7.0,20.6,2.0,19.0,13.0,1.0,0.0,0.0,1.0,2,4.0,1.0,0.0,Shane Long
Matthew Longstaff,ENG,MF,Newcastle Utd,Premier League,20.0,2000.0,4.2,4.0,3,4.0,0.0,0.0,2.0,6.0,33.3,4.0,98.0,25.0,25.5,30.0,58.0,10.0,9.0,0.0,0.0,9.0,6,10.0,3.0,0.0,Matthew Longstaff
Sean Longstaff,ENG,MF,Newcastle Utd,Premier League,22.0,1997.0,15.7,36.0,21,16.0,17.0,3.0,21.0,60.0,35.0,39.0,398.0,99.0,24.9,168.0,184.0,46.0,29.0,4.0,0.0,25.0,19,55.0,21.0,1.0,Sean Longstaff
Ademola Lookman,ENG,FWMF,Fulham,Premier League,22.0,1997.0,30.5,38.0,29,12.0,19.0,7.0,5.0,35.0,14.3,30.0,516.0,155.0,30.0,110.0,230.0,176.0,42.0,2.0,0.0,40.0,25,63.0,13.0,0.0,Ademola Lookman
Anthony Lopes,POR,GK,Lyon,Ligue 1,29.0,1990.0,38.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,25.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,2.0,3.0,Anthony Lopes
Rony Lopes,POR,FWMF,Nice,Ligue 1,24.0,1995.0,19.8,22.0,18,4.0,16.0,2.0,8.0,29.0,27.6,21.0,296.0,81.0,27.4,53.0,140.0,103.0,14.0,3.0,0.0,11.0,15,37.0,9.0,0.0,Rony Lopes
Pedro López Muñoz,ESP,DF,Huesca,La Liga,36.0,1983.0,11.9,30.0,22,18.0,7.0,5.0,17.0,26.0,65.4,9.0,139.0,45.0,32.4,67.0,53.0,19.0,26.0,4.0,0.0,22.0,10,40.0,28.0,1.0,Pedro Lopez Munoz
Adrián López,ESP,FWMF,Osasuna,La Liga,32.0,1988.0,5.3,6.0,4,0.0,3.0,3.0,2.0,6.0,33.3,4.0,58.0,9.0,15.5,6.0,34.0,18.0,4.0,0.0,0.0,4.0,1,7.0,3.0,0.0,Adrian Lopez
Javi López,ESP,DFMF,Alavés,La Liga,18.0,2002.0,2.8,6.0,5,4.0,2.0,0.0,1.0,1.0,100.0,0.0,51.0,15.0,29.4,23.0,17.0,11.0,4.0,0.0,0.0,4.0,6,12.0,7.0,0.0,Javi Lopez
Maxime Lopez,FRA,FWMF,Marseille,Ligue 1,22.0,1997.0,1.5,1.0,0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,28.0,6.0,21.4,10.0,12.0,6.0,0.0,0.0,0.0,0.0,1,2.0,3.0,0.0,Maxime Lopez
Maxime Lopez,FRA,MF,Sassuolo,Serie A,22.0,1997.0,20.7,28.0,19,18.0,7.0,3.0,12.0,38.0,31.6,26.0,362.0,102.0,28.2,121.0,168.0,73.0,15.0,2.0,0.0,13.0,23,51.0,6.0,0.0,Maxime Lopez
Pau López,ESP,GK,Roma,Serie A,25.0,1994.0,20.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,1.0,Pau Lopez
Roberto López,ESP,MFFW,Real Sociedad,La Liga,20.0,2000.0,5.6,4.0,2,2.0,1.0,1.0,1.0,9.0,11.1,8.0,85.0,19.0,22.4,20.0,49.0,16.0,5.0,0.0,0.0,5.0,3,7.0,4.0,0.0,Roberto Lopez
Unai López,ESP,MF,Athletic Club,La Liga,24.0,1995.0,15.8,31.0,22,13.0,16.0,2.0,9.0,28.0,32.1,19.0,252.0,75.0,29.8,72.0,145.0,35.0,26.0,5.0,0.0,21.0,11,42.0,18.0,1.0,Unai Lopez
Dion Lopy,SEN,MF,Reims,Ligue 1,18.0,2002.0,2.8,2.0,1,0.0,2.0,0.0,0.0,3.0,0.0,3.0,41.0,12.0,29.3,15.0,22.0,4.0,0.0,0.0,0.0,0.0,4,6.0,1.0,0.0,Dion Lopy
Jordan Lotomba,SUI,DF,Nice,Ligue 1,21.0,1998.0,23.6,38.0,19,27.0,6.0,5.0,19.0,34.0,55.9,15.0,281.0,81.0,28.8,121.0,110.0,50.0,45.0,6.0,0.0,39.0,18,56.0,57.0,1.0,Jordan Lotomba
Adrien Louveau,FRA,DFMF,Lens,Ligue 1,20.0,2000.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Adrien Louveau
Imran Louza,FRA,MF,Nantes,Ligue 1,21.0,1999.0,26.4,51.0,34,24.0,22.0,5.0,16.0,67.0,23.9,51.0,537.0,151.0,28.1,166.0,279.0,92.0,40.0,6.0,0.0,34.0,46,97.0,22.0,2.0,Imran Louza
Matteo Lovato,ITA,DF,Hellas Verona,Serie A,20.0,2000.0,15.4,27.0,18,15.0,10.0,2.0,10.0,20.0,50.0,10.0,199.0,72.0,36.2,100.0,90.0,9.0,27.0,10.0,0.0,17.0,19,46.0,86.0,2.0,Matteo Lovato
Max Lowe,ENG,DF,Sheffield Utd,Premier League,23.0,1997.0,6.1,23.0,14,20.0,2.0,1.0,7.0,20.0,35.0,13.0,130.0,37.0,28.5,60.0,51.0,19.0,21.0,3.0,0.0,18.0,3,26.0,12.0,1.0,Max Lowe
Eduard Löwen,GER,MFDF,Hertha BSC,Bundesliga,23.0,1997.0,0.9,5.0,4,2.0,1.0,2.0,2.0,5.0,40.0,3.0,27.0,4.0,14.8,12.0,8.0,7.0,0.0,0.0,0.0,0.0,1,6.0,2.0,0.0,Eduard Lowen
Matthew Lowton,ENG,DF,Burnley,Premier League,31.0,1989.0,34.0,67.0,36,36.0,29.0,2.0,33.0,76.0,43.4,43.0,290.0,84.0,29.0,134.0,114.0,42.0,66.0,14.0,0.0,52.0,55,122.0,116.0,2.0,Matthew Lowton
Anthony Lozano,HON,FWMF,Cádiz,La Liga,27.0,1993.0,16.9,11.0,10,1.0,7.0,3.0,1.0,7.0,14.3,6.0,201.0,42.0,20.9,20.0,104.0,77.0,11.0,1.0,0.0,10.0,3,14.0,9.0,0.0,Anthony Lozano
Hirving Lozano,MEX,FW,Napoli,Serie A,25.0,1995.0,21.8,34.0,20,14.0,14.0,6.0,9.0,32.0,28.1,23.0,397.0,107.0,27.0,75.0,174.0,148.0,55.0,3.0,0.0,52.0,18,52.0,7.0,0.0,Hirving Lozano
Jan Luca Schuler,GER,FW,Schalke 04,Bundesliga,21.0,1999.0,0.4,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,7.0,3.0,42.9,2.0,2.0,3.0,2.0,0.0,0.0,2.0,0,1.0,1.0,0.0,Jan Luca Schuler
Jean Lucas,BRA,MF,Lyon,Ligue 1,22.0,1998.0,1.9,6.0,4,2.0,4.0,0.0,1.0,4.0,25.0,3.0,38.0,12.0,31.6,8.0,27.0,3.0,2.0,1.0,0.0,1.0,3,9.0,2.0,0.0,Jean Lucas
Jean Lucas,BRA,MF,Brest,Ligue 1,22.0,1998.0,11.2,25.0,14,13.0,11.0,1.0,1.0,20.0,5.0,19.0,262.0,66.0,25.2,91.0,133.0,38.0,4.0,0.0,0.0,4.0,17,42.0,12.0,0.0,Jean Lucas
Anderson Lucoqui,ANG,DF,Arminia,Bundesliga,23.0,1997.0,17.8,50.0,24,33.0,16.0,1.0,21.0,45.0,46.7,24.0,263.0,68.0,25.9,138.0,95.0,30.0,65.0,6.0,0.0,59.0,16,66.0,58.0,1.0,Anderson Lucoqui
Jeison Lucumí,COL,FW,Elche,La Liga,25.0,1995.0,0.5,1.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,7.0,2.0,28.6,1.0,4.0,2.0,1.0,0.0,0.0,1.0,0,1.0,1.0,0.0,Jeison Lucumi
