Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Tkl_Def_3rd,Tkl_Mid_3rd,Tkl_Att_3rd,Tkl_vs_Drib,Att_vs_Drib,Tkl%_vs_Drib,Past_vs_Drib,Press,Press_Succ,Press_Succ_%,Press_Def_3rd,Press_Mid_3rd,Press_Att_3rd,Blocks,Shot_Blocks,SoT_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Name_no_spec_chars
Maxwel Cornet,CIV,DFFW,Lyon,Ligue 1,23.0,1996.0,27.2,80.0,46,46.0,24.0,10.0,29.0,58.0,50.0,29.0,301.0,97.0,32.2,152.0,101.0,48.0,43.0,3.0,0.0,40.0,44,124.0,85.0,2.0,Maxwel Cornet
Ángel Correa,ARG,FWMF,Atlético Madrid,La Liga,25.0,1995.0,26.6,37.0,30,12.0,18.0,7.0,14.0,51.0,27.5,37.0,502.0,147.0,29.3,87.0,232.0,183.0,31.0,2.0,0.0,29.0,21,58.0,16.0,0.0,Angel Correa
Joaquín Correa,ARG,FW,Lazio,Serie A,25.0,1994.0,21.5,17.0,10,4.0,9.0,4.0,6.0,25.0,24.0,19.0,339.0,108.0,31.9,37.0,155.0,147.0,13.0,0.0,0.0,13.0,9,26.0,7.0,0.0,Joaquin Correa
Rober Correa,ESP,DF,Eibar,La Liga,27.0,1992.0,12.6,23.0,17,14.0,6.0,3.0,9.0,14.0,64.3,5.0,134.0,45.0,33.6,59.0,50.0,25.0,24.0,1.0,0.0,23.0,24,47.0,58.0,0.0,Rober Correa
Félix Correia,POR,MF,Juventus,Serie A,19.0,2001.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,7.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Felix Correia
Thierry Correia,POR,DF,Valencia,La Liga,21.0,1999.0,23.7,59.0,34,43.0,11.0,5.0,25.0,45.0,55.6,20.0,355.0,95.0,26.8,197.0,109.0,49.0,42.0,5.0,0.0,37.0,36,95.0,86.0,1.0,Thierry Correia
Angelo da Costa Júnior,BRA,GK,Bologna,Serie A,36.0,1983.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,Angelo da Costa Junior
Danny da Costa,GER,DF,Mainz 05,Bundesliga,27.0,1993.0,13.4,25.0,10,11.0,7.0,7.0,10.0,26.0,38.5,16.0,187.0,48.0,25.7,81.0,66.0,40.0,17.0,2.0,0.0,15.0,22,47.0,39.0,0.0,Danny da Costa
Danny da Costa,GER,DF,Eint Frankfurt,Bundesliga,27.0,1993.0,1.2,2.0,2,2.0,0.0,0.0,0.0,1.0,0.0,1.0,25.0,6.0,24.0,9.0,12.0,4.0,4.0,1.0,0.0,3.0,0,2.0,4.0,0.0,Danny da Costa
David Pereira da Costa,POR,MFFW,Lens,Ligue 1,19.0,2001.0,1.8,6.0,5,2.0,4.0,0.0,4.0,4.0,100.0,0.0,30.0,13.0,43.3,10.0,16.0,4.0,3.0,0.0,0.0,3.0,0,6.0,2.0,0.0,David Pereira da Costa
