Serie_A_rank,Team,Player,KM_RUN_avg,Total_minutes
367,[ATALANTA] ,Bosko Sutalo ,7.223,248
368,[UDINESE] ,Gerard Deulofeu ,7.218,635
369,[JUVENTUS] ,Federico Bernardeschi ,7.182,1068
370,[BOLOGNA] ,Emanuel Vignato ,7.18,1295
371,[MILAN] ,Samuel Castillejo ,7.152,1271
372,[SASSUOLO] ,Francesco Magnanelli ,7.146,471
373,[BENEVENTO] ,Adolfo Gaich ,7.143,811
374,[PARMA] ,Wylan Cyprien ,7.13,458
375,[SPEZIA] ,Diego Farias ,7.126,1612
376,[INTER] ,Alexis Sanchez ,7.088,1229
377,[GENOA] ,Filippo Melegoni ,7.072,428
378,[PARMA] ,Roberto Inglese ,7.06,617
379,[SPEZIA] ,Andrey Galabinov ,7.059,484
380,[UDINESE] ,Fernando Llorente ,7.053,815
381,[BOLOGNA] ,Gary Medel ,7.042,543
382,[SPEZIA] ,Roberto Piccoli ,7.028,764
383,,Jacopo Segre ,7.016,229
384,[GENOA] ,Marko Pjaca ,6.992,1527
385,[LAZIO] ,Marco Parolo ,6.925,714
386,[UDINESE] ,Martin Palumbo ,6.918,67
387,[SASSUOLO] ,Mehdi Bourabia ,6.9,585
388,[SAMPDORIA] ,Antonino La Gumina ,6.896,368
389,[SASSUOLO] ,Gregoire Defrel ,6.887,1426
390,[SPEZIA] ,Kevin Agudelo ,6.863,1455
391,[CROTONE] ,Samuel Di Carmine ,6.829,1040
392,[SAMPDORIA] ,Keita ,6.826,1269
393,[SPEZIA] ,Daniele Verde ,6.789,1048
394,[TORINO] ,Nicola Murru ,6.785,625
395,[ROMA] ,Bryan Reynolds ,6.783,297
396,[SAMPDORIA] ,Vasco Regini ,6.764,92
397,[HELLAS VERONA] ,Daniel Bessa ,6.731,671
398,[LAZIO] ,Vedat Muriqi ,6.709,929
399,,Christian Maggio ,6.703,325
400,[LAZIO] ,Jean-Daniel Akpa Akpro ,6.604,1175
401,[ATALANTA] ,Matteo Ruggeri ,6.591,218
402,[TORINO] ,Federico Bonazzoli ,6.58,781
403,[MILAN] ,Rade Krunic ,6.567,812
404,[SAMPDORIA] ,Gaston Ramirez ,6.565,1042
405,[HELLAS VERONA] ,Andrea Favilli ,6.529,366
406,[LAZIO] ,Senad Lulic ,6.514,764
407,,Jacopo Dezi ,6.501,87
408,,Luca Mora ,6.5,119
409,[PARMA] ,Juan Brunetta ,6.401,513
410,[UDINESE] ,Ilija Nestorovski ,6.398,785
411,[SAMPDORIA] ,Valerio Verre ,6.388,1062
412,[HELLAS VERONA] ,Eddie Salcedo ,6.353,828
413,[FIORENTINA] ,Christian Kouame ,6.228,1109
414,[TORINO] ,Amer Gojak ,6.22,522
415,[CROTONE] ,Emmanuel Riviere ,6.187,685
416,[LAZIO] ,Danilo Cataldi ,6.169,640
417,[SPEZIA] ,Cristian Dell'Orco ,6.156,292
418,[BENEVENTO] ,Gabriele Moncini ,6.142,387
419,[UDINESE] ,Thomas Ouwejan ,6.129,462
420,[CROTONE] ,Andrea Rispoli ,6.113,702
421,[LAZIO] ,Felipe Caicedo ,6.076,1017
422,[SPEZIA] ,Gennaro Acampora ,6.036,487
423,[CAGLIARI] ,Alessandro Tripaldelli ,6.03,328
424,,Pol Lirola ,6.006,542
425,[BENEVENTO] ,Marco Sau ,5.988,863
426,[MILAN] ,Jens Petter Hauge ,5.985,592
